;Año;Género F/M/Mixto;Grupo/solista;Género musical;Nacionalidad;¿Aparece en top 20 NACIONAL antes del festival?;¿Aparece top 100 NACIONAL antes del festival? TOPCHARTS;¿Cuántas veces aparece?;Posición en el chart;Peak de rating;Gaviotas;Antorchas;¿Aparece top 20 después del festival?;¿Aparece top 100 después del festival?;¿Cuántas veces aparece?;Chart;¿Subió o bajó?;;;;;;;;;;;;;;;;;;;;;;;;;;;
Luis Fonsi;2015;Hombre;Solista;Pop latino;Puerto Rico;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;2;No se dan;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Yandel;2015;Hombre;Solista;Reggaeton;Puerto Rico;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;2;No se dan;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ricardo Arjona ;2015;Hombre;Solista;Pop latino;Guatemala;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;2;No se dan;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Reik ;2015;Hombre;Grupo;Pop latino;México;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;2;No se dan;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alejandro Fernández ;2015;Hombre;Solista;Ranchera / pop latino;México;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;2;No se dan;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nicole;2015;Mujer;Solista;Pop rock;Chile;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;2;No se dan;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Emmanuel ;2015;Hombre;Solista;Balada romántica;México;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;2;No se dan;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vicentico;2015;Hombre;Solista;Rock pop;Argentina;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;2;No se dan;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pedro Aznar;2015;Hombre;Solista;Rock / jazz;Argentina;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;2;No se dan;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cultura Profética ;2015;Hombre;Grupo;Reggae / salsa / hip hop / jazz;Puerto Rico;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;2;No se dan;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Romeo Santos ;2015;Hombre;Solista;Bachata;Estados Unidos ;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;2;No se dan;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Noche de Brujas ;2015;Hombre;Grupo;Cumbia ;Chile;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;2;No se dan;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Yusuf Cat Stevens ;2015;Hombre;Solista;Folk / rock / pop;Reino Unido;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;2;No se dan;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nano Stern ;2015;Hombre;Solista;Jazz / trova / folk / rock ;Chile;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;2;No se dan;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Óscar D'León ;2015;Hombre;Solista;Salsa;Venezuela;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;2;No se dan;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ricky Martin ;2014;Hombre;Solista;Pop latino;Puerto Rico;PENDIENTE;Sí;1;10;PENDIENTE;2;2;PENDIENTE;Sí;1;10;Mantuvo;;;;;;;;;;;;;;;;;;;;;;;;;;;
Los Tres;2014;Hombre;Grupo;Rock;Chile;PENDIENTE;Sí;1;56;PENDIENTE;2;2;PENDIENTE;Sí;1;79;Bajó;;;;;;;;;;;;;;;;;;;;;;;;;;;
Laura Pausini;2014;Mujer;Solista;Pop rock / balada ;Italia ;PENDIENTE;Sí;2;80,100c;PENDIENTE;2;2;PENDIENTE;Sí;2;68,80c;Subió;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fito Páez;2014;Hombre;Solista;Rock;Argentina;PENDIENTE;No;0;0;PENDIENTE;2;2;PENDIENTE;No;0;0;-;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ana Gabriel ;2014;Mujer;Solista;Pop latino / balada romántica / ranchera;México;PENDIENTE;No;0;0;PENDIENTE;2;2;PENDIENTE;No;0;0;-;;;;;;;;;;;;;;;;;;;;;;;;;;;
Raphael;2014;Hombre;Solista;Balada;España;PENDIENTE;No;0;0;PENDIENTE;2;2;PENDIENTE;No;0;0;-;;;;;;;;;;;;;;;;;;;;;;;;;;;
La Ley;2014;Hombre;Grupo;Rock;Chile;PENDIENTE;No;0;0;PENDIENTE;2;2;PENDIENTE;No;0;0;-;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carlos Vives ;2014;Hombre;Solista;Pop tropical;Colombia;PENDIENTE;No;0;0;PENDIENTE;2;2;PENDIENTE;Sí;1;81;Ingresó;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gepe;2014;Hombre;Solista;Folclore / pop;Chile;PENDIENTE;No;0;0;PENDIENTE;2;2;PENDIENTE;No;0;0;-;;;;;;;;;;;;;;;;;;;;;;;;;;;
Yandar & Yostin;2014;Hombre;Duo;Reggaeton urbano;Colombia;PENDIENTE;Sí;1;5;PENDIENTE;2;2;PENDIENTE;Sí;1;5;-;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rod Stewart ;2014;Hombre;Solista;Rock ;Inglaterra;PENDIENTE;No;0;0;PENDIENTE;2;2;PENDIENTE;No;0;0;-;;;;;;;;;;;;;;;;;;;;;;;;;;;
Paloma San Basilio ;2014;Mujer;Solista;Balada / copla;España;PENDIENTE;No;0;0;PENDIENTE;2;2;PENDIENTE;No;0;0;-;;;;;;;;;;;;;;;;;;;;;;;;;;;
La Sonora Palacios  ;2014;Hombre;Grupo;Cumbia ;Chile;PENDIENTE;No;0;0;PENDIENTE;2;2;PENDIENTE;No;0;0;-;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jesse & Joy;2014;Mixto;Duo;Pop;México;PENDIENTE;Sí;2;18,34;PENDIENTE;2;2;PENDIENTE;Sí;3;19,32,95;Ingresó;;;;;;;;;;;;;;;;;;;;;;;;;;;
Melendi;2014;Hombre;Solista;Pop;España;PENDIENTE;Sí;2;41,57;PENDIENTE;2;2;PENDIENTE;Sí;2;46, 53;Subió;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tommy Torres;2014;Hombre;Solista;Pop;Puerto Rico;PENDIENTE;Sí;1;86;PENDIENTE;2;2;PENDIENTE;No;0;0;Bajó;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alexis & Fido;2014;Hombre;Duo;Reggaeton;Puerto Rico;PENDIENTE;No;0;0;PENDIENTE;2;2;PENDIENTE;No;0;0;-;;;;;;;;;;;;;;;;;;;;;;;;;;;
Maná;2013;Hombre;Grupo;Rock;México;PENDIENTE;Sí;1;32;PENDIENTE;2;2;PENDIENTE;Sí;1;33;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chino & Nacho;2013;Hombre;Duo;Pop latino / reggaeton;Venezuela;PENDIENTE;No;;;PENDIENTE;0;2;PENDIENTE;No;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Romeo Santos ;2013;Hombre;Solista;Bachata;Estados Unidos;PENDIENTE;Sí;2;54,74;PENDIENTE;2;2;PENDIENTE;Sí;2;63,68;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Daddy Yankee;2013;Hombre;Solista;Reggaeton;Puerto Rico;PENDIENTE;Sí;2;3, 49;PENDIENTE;2;2;PENDIENTE;Sí;2;2,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Miguel Bosé ;2013;Hombre;Solista;Pop / baladas;España;PENDIENTE;Sí;1;16;PENDIENTE;2;2;PENDIENTE;Sí;1;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jonas Brothers;2013;Hombre;Grupo;Pop;Estados Unidos;PENDIENTE;No;0;0;PENDIENTE;2;2;PENDIENTE;No;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31 Minutos;2013;Mixto;Grupo;Rock / funk / folclore / electrónica;Chile;PENDIENTE;No;0;0;PENDIENTE;2;2;PENDIENTE;No;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Francisca Valenzuela ;2013;Mujer;Solista;Pop rock;Chile;PENDIENTE;No;0;0;PENDIENTE;2;2;PENDIENTE;No;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jorge González;2013;Hombre;Solista;Pop rock;Chile;PENDIENTE;No;0;0;PENDIENTE;2;2;PENDIENTE;No;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Elton John ;2013;Hombre;Solista;Rock / pop;Inglaterra;PENDIENTE;No;0;0;PENDIENTE;2;2;PENDIENTE;No;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Albert Hammond;2013;Hombre;Solista;Pop;Reino Unido;PENDIENTE;No;0;0;PENDIENTE;1;2;PENDIENTE;No;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
La Sonora de Tommy Rey ;2013;Hombre;Grupo;Cumbia ;Chile;PENDIENTE;No;0;0;PENDIENTE;2;2;PENDIENTE;No;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wisin & Yandel ;2013;Hombre;Duo;Reggaeton;Puerto Rico;PENDIENTE;Sí;2;1,10,;PENDIENTE;2;2;PENDIENTE;Sí;2;1,13;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gloria Trevi;2013;Mujer;Solista;Pop latino / rock;México;PENDIENTE;No;0;0;PENDIENTE;2;2;PENDIENTE;No;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pablo Alborán;2013;Hombre;Solista;Pop;España;PENDIENTE;Sí;3;18,24,66;PENDIENTE;2;2;PENDIENTE;No;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Los Auténticos Decadentes ;2013;Hombre;Grupo;Rock / ska;Argentina;PENDIENTE;No;0;0;PENDIENTE;2;2;PENDIENTE;No;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Diego Torres;2012;Hombre;Solista;Pop latino;Argentina;no;PENDIENTE;0;0;PENDIENTE;0;2;no;PENDIENTE;0;0;-;;;;;;;;;;;;;;;;;;;;;;;;;;;
Luis Miguel ;2012;Hombre;Solista;Pop latino / bolero / marichi;México;no;PENDIENTE;0;0;PENDIENTE;3;0;no;PENDIENTE;0;0;-;;;;;;;;;;;;;;;;;;;;;;;;;;;
Camila;2012;Hombre;Grupo;Pop rock;México;no;PENDIENTE;0;0;PENDIENTE;1;2;no;PENDIENTE;0;0;-;;;;;;;;;;;;;;;;;;;;;;;;;;;
Marc Anthony ;2012;Hombre;Solista;Salsa;Estados Unidos/ Puerto Rico;no;PENDIENTE;0;0;PENDIENTE;2;2;no;PENDIENTE;0;0;-;;;;;;;;;;;;;;;;;;;;;;;;;;;
Daniel Muñoz;2012;Hombre;Solista;Cueca urbana ;Chile;no;PENDIENTE;0;0;PENDIENTE;0;2;no;PENDIENTE;0;0;-;;;;;;;;;;;;;;;;;;;;;;;;;;;
Salvatore Adamo ;2012;Hombre;Solista;Balada Romántica / pop;Italia / Bélgica;no;PENDIENTE;0;0;PENDIENTE;1;2;no;PENDIENTE;0;0;-;;;;;;;;;;;;;;;;;;;;;;;;;;;
Morrissey ;2012;Hombre;Solista;Rock alternativo;Inglaterra;no;PENDIENTE;0;0;PENDIENTE;0;0;no;PENDIENTE;0;0;-;;;;;;;;;;;;;;;;;;;;;;;;;;;
Los Bunkers;2012;Hombre;Grupo;Rock alternativo;Chile;no;PENDIENTE;0;0;PENDIENTE;2;2;no;PENDIENTE;0;0;-;;;;;;;;;;;;;;;;;;;;;;;;;;;
Manuel García;2012;Hombre;Solista;Rock / trova / folk;Chile;no;PENDIENTE;0;0;PENDIENTE;2;2;no;PENDIENTE;0;0;-;;;;;;;;;;;;;;;;;;;;;;;;;;;
Garras de Amor;2012;Hombre;Grupo;Cumbia Romántica;Argentina;no;PENDIENTE;0;0;PENDIENTE;0;0;no;PENDIENTE;0;0;-;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ráfaga ;2012;Hombre;Grupo;Cumbia ;Argentina;no;PENDIENTE;0;0;PENDIENTE;0;0;no;PENDIENTE;0;0;-;;;;;;;;;;;;;;;;;;;;;;;;;;;
Luis Fonsi ;2012;Hombre;Solista;Pop latino;Puerto Rico;no;PENDIENTE;0;0;PENDIENTE;2;2;no;PENDIENTE;0;0;-;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rosana ;2012;Mujer;Solista;Pop latino / folk pop;España;no;PENDIENTE;0;0;PENDIENTE;2;2;no;PENDIENTE;0;0;-;;;;;;;;;;;;;;;;;;;;;;;;;;;
Prince Royce ;2012;Hombre;Solista;Bachata;Estados Unidos;Sí;PENDIENTE;1;18;PENDIENTE;1;2;Si ;PENDIENTE;1;8;Subió;;;;;;;;;;;;;;;;;;;;;;;;;;;
José Luis Perales ;2012;Hombre;Solista;Balada / jazz;España;no ;PENDIENTE;0;0;PENDIENTE;2;2;no;PENDIENTE;0;0;-;;;;;;;;;;;;;;;;;;;;;;;;;;;
Juan Luis Guerra;2012;Hombre;Solista;Bachata;República Dominicana;no;PENDIENTE;0;0;PENDIENTE;2;2;no;PENDIENTE;0;0;-;;;;;;;;;;;;;;;;;;;;;;;;;;;
Roberto Carlos;2011;Hombre;Solista;Balada / rock / bossa nova;Brasil;no ;PENDIENTE;PENDIENTE;;PENDIENTE;1;2;no;PENDIENTE;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
Yuri;2011;Mujer;Solista;Pop latino;México;no ;PENDIENTE;PENDIENTE;;PENDIENTE;1;2;no;PENDIENTE;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
Américo;2011;Hombre;Solista;Cumbia tropical ;Chile;no ;PENDIENTE;PENDIENTE;;PENDIENTE;1;2;no;PENDIENTE;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aventura;2011;Hombre;Grupo;Bachata;República Dominicana;Sí;PENDIENTE;1;16;PENDIENTE;2;2;Si ;PENDIENTE;1;12;Subió;;;;;;;;;;;;;;;;;;;;;;;;;;;
Marco Antonio Solis;2011;Hombre;Solista;Balada Romántica / pop;México;no ;PENDIENTE;PENDIENTE;;PENDIENTE;1;2;no;PENDIENTE;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
Calle 13 ;2011;Mixto;Grupo;Rap fusión latino;Puerto Rico;no;PENDIENTE;PENDIENTE;;PENDIENTE;0;1;;PENDIENTE;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chayanne;2011;Hombre;Solista;Pop latino;Puerto Rico;no;PENDIENTE;PENDIENTE;;PENDIENTE;2;2;Sí;PENDIENTE;1;9;ingresó;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carlos Baute;2011;Hombre;Solista;Pop;Venezuela;no;PENDIENTE;PENDIENTE;;PENDIENTE;0;1;Sí;PENDIENTE;1;15;ingresó;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pitbull;2011;Hombre;Solista;Hip hop / reggaeton;Estados Unidos;Sí;PENDIENTE;1;11;PENDIENTE;0;2;Sí;PENDIENTE;1;14;i;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sting;2011;Hombre;Solista;Pop rock;Reino Unido;no;PENDIENTE;PENDIENTE;;PENDIENTE;2;2;no;PENDIENTE;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
Los Jaivas;2011;Mixto;Grupo;Rock folclórico;Chile;no;PENDIENTE;PENDIENTE;;PENDIENTE;2;2;no;PENDIENTE;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alejandro Sanz;2011;Hombre;Solista;Balada romántica;España;no;PENDIENTE;PENDIENTE;;PENDIENTE;2;2;no;PENDIENTE;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
Noel Schajris;2011;Hombre;Solista;Pop latino / balada romántica;Argentina / México;no;PENDIENTE;PENDIENTE;;PENDIENTE;0;2;no;PENDIENTE;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
Villa Cariño y Los Vikings 5;2011;Hombre;Grupo;Cumbia ;Chile;no;PENDIENTE;PENDIENTE;;PENDIENTE;0;2;no;PENDIENTE;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
Reik;2010;Hombre;Grupo;Pop latino;México;no ;PENDIENTE;0;0;PENDIENTE;0;2;;PENDIENTE;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
Don Omar ;2010;Hombre;Solista;Reggaeton;Puerto Rico;Sí;PENDIENTE;1;20;PENDIENTE;1;2;Sí;PENDIENTE;1;11;Subió;;;;;;;;;;;;;;;;;;;;;;;;;;;
Raphael;2010;Hombre;Solista;Balada;España;no ;PENDIENTE;0;0;PENDIENTE;1;2;no;PENDIENTE;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
Miranda!;2010;Mixto;Duo;Electropop;Argentina / México;no ;PENDIENTE;0;0;PENDIENTE;0;2;no;PENDIENTE;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
Américo;2010;Hombre;Solista;Cumbia tropical ;Chile;Sí;PENDIENTE;1;13;PENDIENTE;2;2;Sí;PENDIENTE;2;5, 19;Ingresó y subió;;;;;;;;;;;;;;;;;;;;;;;;;;;
Paul Anka;2010;Hombre;Solista;Pop / jazz;Canadá;no;PENDIENTE;0;0;PENDIENTE;1;2;no;PENDIENTE;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tito el Bambino;2010;Hombre;Solista;Reggaeton;Puerto Rico;no;PENDIENTE;0;0;PENDIENTE;1;2;no;PENDIENTE;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
La Noche ;2010;Hombre;Grupo;Tropical / cumbia ;Chile;no;PENDIENTE;0;0;PENDIENTE;1;2;no;PENDIENTE;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ricardo Arjona;2010;Hombre;Solista;Pop latino ;Guatemala;no;PENDIENTE;0;0;PENDIENTE;2;2;no;PENDIENTE;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fanny Lu;2010;Mujer;Solista;Pop latino / tropipop;Colombia ;no;PENDIENTE;0;0;PENDIENTE;0;0;no;PENDIENTE;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
Joan Manuel Serrat;2009;Hombre;Solista;Folk / pop melódico;España;PENDIENTE;PENDIENTE;PENDIENTE;;PENDIENTE;0;1;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
La Noche ;2009;Hombre;Grupo;Tropical / cumbia ;Chile;PENDIENTE;PENDIENTE;PENDIENTE;;PENDIENTE;1;2;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Juanes ;2009;Hombre;Solista;Pop latino / rock;Colombia ;PENDIENTE;PENDIENTE;PENDIENTE;;PENDIENTE;1;2;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Camila;2009;Hombre;Grupo;Pop rock;México;PENDIENTE;PENDIENTE;PENDIENTE;;PENDIENTE;1;2;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fernando Ubiergo;2009;Hombre;Solista;Nueva canción chilena / balada;Chile;PENDIENTE;PENDIENTE;PENDIENTE;;PENDIENTE;1;2;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
K.C and the Sunshine Band;2009;Mixto;Grupo;Funk / disco;Estados Unidos;PENDIENTE;PENDIENTE;PENDIENTE;;PENDIENTE;1;2;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carlos Santana;2009;Hombre;Solista;Rock / música latina;México;PENDIENTE;PENDIENTE;PENDIENTE;;PENDIENTE;1;2;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
