;Año;Género F/M/Mixto;Grupo/solista;Género musical;Nacionalidad;¿Aparece en top 20 NACIONAL antes del festival?;¿Aparece top 100 NACIONAL antes del festival? TOPCHARTS;¿Cuántas veces aparece?;Posición en el chart;Peak de rating;Gaviotas;Antorchas;¿Aparece top 20 después del festival?;¿Aparece top 100 después del festival?;¿Cuántas veces aparece?;Chart;¿Subió o bajó?;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cristian Castro;2004;Hombre;Solista;Balada romántica ;México;PENDIENTE;PENDIENTE;PENDIENTE;;PENDIENTE;0;1;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soraya;2004;Mujer;Solista;Pop latino;Colombia;PENDIENTE;PENDIENTE;PENDIENTE;;PENDIENTE;0;1;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Umberto Tozzi;2004;Hombre;Solista;Pop rock;Italia;PENDIENTE;PENDIENTE;PENDIENTE;;PENDIENTE;0;1;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
La Sonora de Tommy Rey ;2004;Hombre;Grupo;Cumbia;Chile;PENDIENTE;PENDIENTE;PENDIENTE;;PENDIENTE;1;2;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Marciano;2004;Hombre;Duo;Música electrónica;Chile;PENDIENTE;PENDIENTE;PENDIENTE;;PENDIENTE;0;0;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Camilo Sesto;2004;Hombre;Solista;Balada romántica / pop / rock;España;PENDIENTE;PENDIENTE;PENDIENTE;;PENDIENTE;1;2;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Douglas;2004;Hombre;Solista;Bachata / balada romántica;Chile;PENDIENTE;PENDIENTE;PENDIENTE;;PENDIENTE;0;1;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bacilos;2004;Hombre;Grupo;Pop latino ;Estados Unidos;PENDIENTE;PENDIENTE;PENDIENTE;;PENDIENTE;0;1;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chancho en Piedra;2004;Hombre;Grupo;Rock alternativo;Chile;PENDIENTE;PENDIENTE;PENDIENTE;;PENDIENTE;1;2;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Toto;2004;Hombre;Grupo;Rock;Estados Unidos;PENDIENTE;PENDIENTE;PENDIENTE;;PENDIENTE;0;1;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Juan Gabriel;2004;Hombre;Solista;Mariachi / bolero / balada;México;PENDIENTE;PENDIENTE;PENDIENTE;;PENDIENTE;2;2;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alex Ubago;2004;Hombre;Solista;Pop rock / balada moderna ;España;PENDIENTE;PENDIENTE;PENDIENTE;;PENDIENTE;0;1;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Canal Magdalena;2004;Hombre;Grupo;Pop rock;Chile;PENDIENTE;PENDIENTE;PENDIENTE;;PENDIENTE;0;1;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Maria Jose Quintanilla;2004;Mujer;Solista;Ranchera / pop / balada ;Chile;PENDIENTE;PENDIENTE;PENDIENTE;;PENDIENTE;2;2;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intii-Illimani;2004;Hombre;Grupo;Nueva canción chilena ;Chile;PENDIENTE;PENDIENTE;PENDIENTE;;PENDIENTE;2;2;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tito Fernández ;2004;Hombre;Solista;Nueva canción chilena / folclore ;Chile;PENDIENTE;PENDIENTE;PENDIENTE;;PENDIENTE;2;2;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pettinellis;2004;Hombre;Grupo;Rock ;Chile;PENDIENTE;PENDIENTE;PENDIENTE;;PENDIENTE;2;2;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Salvatore Adamo ;2004;Hombre;Solista;Balada Romántica / pop;Italia/ Bélgica;PENDIENTE;PENDIENTE;PENDIENTE;;PENDIENTE;2;2;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Luis Fonsi;2004;Hombre;Solista;Pop latino;Puerto Rico;PENDIENTE;PENDIENTE;PENDIENTE;;PENDIENTE;2;2;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fito Páez;2004;Hombre;Solista;Rock;Argentina;PENDIENTE;PENDIENTE;PENDIENTE;;PENDIENTE;2;2;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Molotov;2004;Hombre;Grupo;Punk rock;México;PENDIENTE;PENDIENTE;PENDIENTE;;PENDIENTE;1;2;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ricardo Arjona;2004;Hombre;Solista;Pop latino;Guatemala;PENDIENTE;PENDIENTE;PENDIENTE;;PENDIENTE;2;2;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
DJ Méndez;2004;Hombre;Solista;Rap / urbano / hip hop;Chile;PENDIENTE;PENDIENTE;PENDIENTE;;PENDIENTE;1;2;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jarabe de palo;2004;Hombre;Grupo;Rock;España;PENDIENTE;PENDIENTE;PENDIENTE;;PENDIENTE;0;0;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Safri Duo;2004;Hombre;Grupo;Música electrónica / trance ;Dinamarca;PENDIENTE;PENDIENTE;PENDIENTE;;PENDIENTE;0;2;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Maná;2003;Hombre;Grupo;Rock;México;PENDIENTE;PENDIENTE;PENDIENTE;;PENDIENTE;0;1;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kool & the Gang;2003;Hombre;Grupo;R&B / soul / funk ;Estados Unidos;PENDIENTE;PENDIENTE;PENDIENTE;;PENDIENTE;0;0;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Diego Torres;2003;Hombre;Solista;Pop latino;Argentina;PENDIENTE;PENDIENTE;PENDIENTE;;PENDIENTE;0;1;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Juanes ;2003;Hombre;Solista;Pop latino / rock;Colombia;PENDIENTE;PENDIENTE;PENDIENTE;;PENDIENTE;0;1;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Porto Bahía;2003;Mixto;Grupo;Ritmos brasileños y latinos ;Brasil / Chile;PENDIENTE;PENDIENTE;PENDIENTE;;PENDIENTE;0;0;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lucybell;2003;Hombre;Grupo;Rock;Chile;PENDIENTE;PENDIENTE;PENDIENTE;;PENDIENTE;0;2;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
INXS;2003;Hombre;Grupo;Rock alternativo / new wave ;Australia;PENDIENTE;PENDIENTE;PENDIENTE;;PENDIENTE;0;1;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
David Bisbal;2003;Hombre;Solista;Pop;España;PENDIENTE;PENDIENTE;PENDIENTE;;PENDIENTE;0;0;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rosario;2003;Mujer;Solista;Pop / rock / flamenco;España;PENDIENTE;PENDIENTE;PENDIENTE;;PENDIENTE;0;1;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gondwana;2003;Hombre;Grupo;Reggae;Chile;PENDIENTE;PENDIENTE;PENDIENTE;;PENDIENTE;0;2;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Joe Vasconcellos;2003;Hombre;Solista;Pop rock;Chile;PENDIENTE;PENDIENTE;PENDIENTE;;PENDIENTE;0;2;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Los prisioneros;2003;Hombre;Grupo;Rock;Chile;PENDIENTE;PENDIENTE;PENDIENTE;;PENDIENTE;1;2;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Charly García;2003;Hombre;Solista;Rock / pop / jazz;Argentina;PENDIENTE;PENDIENTE;PENDIENTE;;PENDIENTE;0;1;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Los Nocheros;2003;Hombre;Grupo;Balada folclórica;Argentina;PENDIENTE;PENDIENTE;PENDIENTE;;PENDIENTE;1;2;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Franco Simone;2003;Hombre;Solista;Pop / balada romántica ;Italia;PENDIENTE;PENDIENTE;PENDIENTE;;PENDIENTE;0;1;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Café con leche;2003;Hombre;Grupo;Axé;Chile / Brasil;PENDIENTE;PENDIENTE;PENDIENTE;;PENDIENTE;0;1;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ricardo Montaner;2003;Hombre;Solista;Balada romántica;Venezuela;PENDIENTE;PENDIENTE;PENDIENTE;;PENDIENTE;1;2;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Luis Jara;2003;Hombre;Solista;Romántico;Chile;PENDIENTE;PENDIENTE;PENDIENTE;;PENDIENTE;1;2;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sandy & Junior;2003;Mixto;Duo;Pop;Brasil;PENDIENTE;PENDIENTE;PENDIENTE;;PENDIENTE;0;0;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Los Ilegales;2003;Hombre;Grupo;Latino / tropical;República Domicana ;PENDIENTE;PENDIENTE;PENDIENTE;;PENDIENTE;0;1;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cristian Castro;2002;Hombre;Solista;Balada romántica ;México;PENDIENTE;PENDIENTE;PENDIENTE;;PENDIENTE;0;1;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
As meninas;2002;Mujer;Grupo;Axé / pop;Brasil;PENDIENTE;PENDIENTE;PENDIENTE;;PENDIENTE;0;0;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sergio Dalma;2002;Hombre;Solista;Pop;España;PENDIENTE;PENDIENTE;PENDIENTE;;PENDIENTE;0;0;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chocolate y nietos del futuro;2002;Hombre;Grupo;Plena rioplatense;Uruguay;PENDIENTE;PENDIENTE;PENDIENTE;;PENDIENTE;0;0;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Paulina Rubio;2002;Mujer;Solista;Pop latino;México;PENDIENTE;PENDIENTE;PENDIENTE;;PENDIENTE;0;0;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Melody;2002;Mujer;Solista;Pop latino / flamenco;España;PENDIENTE;PENDIENTE;PENDIENTE;;PENDIENTE;0;0;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Axé Bahía;2002;Mixto;Grupo;Axé / europop;Brasil;PENDIENTE;PENDIENTE;PENDIENTE;;PENDIENTE;0;0;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ricardo Montaner;2002;Hombre;Solista;Balada romántica;Venezuela;PENDIENTE;PENDIENTE;PENDIENTE;;PENDIENTE;0;0;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Piero;2002;Hombre;Solista;Trova / rock;Argentina / Italia ;PENDIENTE;PENDIENTE;PENDIENTE;;PENDIENTE;0;0;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
DJ Méndez;2002;Hombre;Solista;Rap / urbano / hip hop;Chile ;PENDIENTE;PENDIENTE;PENDIENTE;;PENDIENTE;0;1;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
La Ley;2002;Mixto;Grupo;Rock;Chile ;PENDIENTE;PENDIENTE;PENDIENTE;;PENDIENTE;0;1;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Javiera y los imposibles;2002;Mixto;Grupo;Pop rock;Chile ;PENDIENTE;PENDIENTE;PENDIENTE;;PENDIENTE;0;1;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tito Fernández ;2002;Hombre;Solista;Nueva canción chilena / folclore ;Chile ;PENDIENTE;PENDIENTE;PENDIENTE;;PENDIENTE;0;0;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lucho Gatica;2002;Hombre;Solista;Bolero;Chile ;PENDIENTE;PENDIENTE;PENDIENTE;;PENDIENTE;0;0;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Buddy Richard;2002;Hombre;Solista;Nueva ola / balada / rock;Chile ;PENDIENTE;PENDIENTE;PENDIENTE;;PENDIENTE;0;1;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Illapu;2002;Hombre;Grupo;Música andina / fusión latinoamericana;Chile ;PENDIENTE;PENDIENTE;PENDIENTE;;PENDIENTE;0;1;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Natalia oreiro;2002;Mujer;Solista;Pop latino / dance ;Uruguay;PENDIENTE;PENDIENTE;PENDIENTE;;PENDIENTE;0;0;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
German Casas ;2002;Hombre;Solista;Rock and roll / twist;Chile ;PENDIENTE;PENDIENTE;PENDIENTE;;PENDIENTE;1;1;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Juan Gabriel;2002;Hombre;Solista;Mariachi / bolero / balada;México;PENDIENTE;PENDIENTE;PENDIENTE;;PENDIENTE;0;1;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Los Auténticos Decadentes ;2002;Hombre;Grupo;Rock / ska;Argentina;PENDIENTE;PENDIENTE;PENDIENTE;;PENDIENTE;0;1;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chayanne;2002;Hombre;Solista;Pop latino;Puerto Rico;PENDIENTE;PENDIENTE;PENDIENTE;;PENDIENTE;1;1;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soledad Pastorutti;2002;Mujer;Solista;Folclore argentino / pop;Argentina;PENDIENTE;PENDIENTE;PENDIENTE;;PENDIENTE;0;1;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Patricia Manterola;2002;Mujer;Solista;Latino;México;PENDIENTE;PENDIENTE;PENDIENTE;;PENDIENTE;0;0;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Los Jaivas;2002;Mixto;Grupo;Rock folclórico;Chile;PENDIENTE;PENDIENTE;PENDIENTE;;PENDIENTE;0;1;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cecilia Echenique;2002;Mujer;Solista;Pop latino / balada romántica;Chile;PENDIENTE;PENDIENTE;PENDIENTE;;PENDIENTE;0;1;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Myriam Hernandez;2002;Mujer;Solista;Balada romántica;Chile;PENDIENTE;PENDIENTE;PENDIENTE;;PENDIENTE;1;1;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fito Páez;2002;Hombre;Solista;Rock;Argentina;PENDIENTE;PENDIENTE;PENDIENTE;;PENDIENTE;1;1;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Victor Heredia;2002;Hombre;Solista;Trova / canción protesta;Argentina;PENDIENTE;PENDIENTE;PENDIENTE;;PENDIENTE;0;0;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
