Artista;Año;Género F/M/Mixto;Grupo/solista;Género musical;Nacionalidad
Los prisioneros;1991;Hombre;Grupo;Rock;Chile
Ennio Sangiusto;1991;Hombre;Solista;Música ligera / twist;Italia
Juan Luis Guerra;1991;Hombre;Solista;Bachata;República Dominicana
Eduardo Gatti;1991;Hombre;Solista;Rock / fusión latinoamericano;Chile
Osvaldo Díaz;1991;Hombre;Solista;Nueva ola / canto nuevo;Chile
Martika;1991;Mujer;Solista;Pop;Estados Unidos/Cuba
Juan Antonio Labra;1990;Hombre;Solista;Pop latino / soft rock / funk;Chile
Manuel Mijares;1990;Hombre;Solista;Balada / pop / new wave;México
Marisela;1990;Mujer;Solista;Pop / balada / ranchera;México / Estados Unidos
Cheap Trick;1990;Hombre;Grupo;Rock;Estados Unidos
Xuxa;1990;Mujer;Solista;Pop;Brasil
Pat Henry Y Los Diablos Azules;1990;Hombre;Grupo;Rock / pop;Chile
Luis Miguel ;1990;Hombre;Solista;Pop latino / bolero / marichi;México
Wilfrido Vargas;1990;Hombre;Solista;Merengue / salsa / balada;República Dominicana
Dyango;1990;Hombre;Solista;Romántico;España
Europe;1990;Hombre;Grupo;Hard rock;Suecia
Peter Rock;1990;Hombre;Solista;Rock and roll;Chile
Alberto Plaza;1990;Hombre;Solista;Trova romántica / balada ;Chile
Bertin Osborne;1990;Hombre;Solista;Baladas / rancheras ;España
Emmanuel;1989;Hombre;Solista;Balada romántica;México
Pablo Ruíz;1989;Hombre;Solista;Pop latino / reggaeton;Argentina
Myriam Hernández;1989;Mujer;Solista;Balada romántica;Chile
Carlos Mata;1989;Hombre;Solista;Baladas románticas;Venezuela
REO Speedwagon;1989;Hombre;Grupo;Hard rock;Estados Unidos
Pachuco y la Cubanacán;1989;Hombre;Grupo;Merengue / cumbia ;Chile
Thomas Anders;1989;Hombre;Solista;Europop /eurodisco;Alemania
Rodolfo Navech;1989;Hombre;Solista;Balada ;Chile
Shirley Bassey;1989;Mujer;Solista;Música popular / adult contemporary;Reino Unido
La Sonora Palacios;1989;Hombre;Grupo;Cumbia ;Chile
Andrea Labarca;1989;Mujer;Solista;Balada;Chile
Juan Antonio Labra;1989;Hombre;Solista;Pop latino / soft rock / funk;Chile
Roberto Carlos;1989;Hombre;Solista;Balada / rock / bossa nova;Brasil
Patricia Frías;1989;Mujer;Solista;Pop / balada ;Chile
Monteaguilino;1989;Hombre;Solista;Folclore chileno;Chile
Olé Olé;1989;Mixto;Grupo;Pop / new wave;España
Verónica Castro;1989;Mujer;Solista;Balada / norteño;México
Luis Jara;1989;Hombre;Solista;Romántico;Chile
"José Luis Rodríguez ""El Puma""";1988;Hombre;Solista;Pop latino / balada / bolero;Venezuela
Vivian Reed;1988;Mujer;Solista;R&B / soul;Estados Unidos
Los Enanitos Verdes;1988;Hombre;Grupo;Pop latino;Argentina
Mr. Mister;1988;Hombre;Grupo;Pop rock;Estados Unidos
Juan Antonio Labra;1988;Hombre;Solista;Pop latino / soft rock / funk;Chile
Modern Talking;1988;Hombre;Duo;Eurodisco;Alemania
Laura Branigan;1988;Mujer;Solista;Synth pop / pop;Estados Unidos 
Nydia Caro;1988;Mujer;Solista;Pop / new age;Estados Unidos / Puerto Rico
Álvaro Scaramelli;1988;Hombre;Solista;Rock latino;Chile
Pancho Puelma;1988;Hombre;Solista;Canción de autor;Chile
Alberto Plaza;1988;Hombre;Solista;Trova romántica / balada ;Chile
Nadie;1988;Mixto;Grupo;Rock / synth pop / new wave;Chile
Gloria Benavides ;1988;Mujer;Solista;Nueva ola / balada;Chile
Soda Stereo;1987;Hombre;Grupo;Pop rock / new wave;Argentina
G.I.T.;1987;Hombre;Grupo;Pop rock / new wave;Argentina
Upa;1987;Hombre;Grupo;Rock ;Chile
Air Supply;1987;Hombre;Duo;Soft rock;Reino Unido / Australia
Raphael;1987;Hombre;Solista;Balada;España
Pandora;1987;Mujer;Grupo;Balada / pop / música mexicana;México
Eddie Money;1987;Hombre;Solista;Rock;Estados Unidos
Tavares;1987;Hombre;Grupo;Disco / R&B / soul;Estados Unidos
Luis Jara;1987;Hombre;Solista;Romántico;Chile
Fábio Junior;1987;Hombre;Solista;Romántico / MPB;Brasil
Pachuco y la Cubanacán;1987;Hombre;Grupo;Merengue / cumbia ;Chile
Sandra Mihanovic;1986;Mujer;Solista;Rock / pop / jazz;Argentina
Alejandro Jaén;1986;Hombre;Solista;Balada romántica ;España
Q.E.P;1986;Mixto;Grupo;Boom pop;Chile
Paloma San Basilio;1986;Mujer;Solista;Balada / copla;España
Laura Branigan;1986;Mujer;Solista;Synth pop;Estados Unidos
Luis Miguel;1986;Hombre;Solista;Pop latino / bolero / marichi;México
Alberto Plaza;1986;Hombre;Solista;Trova romántica / balada ;Chile
Opus;1986;Hombre;Grupo;Pop rock;Austria
Miguelo;1986;Hombre;Solista;Pop;Chile
Pachuco y la Cubanacán;1986;Hombre;Grupo;Merengue / cumbia ;Chile
John Denver;1985;Hombre;Solista;Country;Estados Unidos
José Feliciano;1985;Hombre;Solista;Pop latino / bolero;Puerto Rico / Estados Unidos
Dyango;1985;Hombre;Solista;Romántico;España
Krokus;1985;Hombre;Grupo;Hard rock / heavy metal;Suiza
Luis Miguel;1985;Hombre;Solista;Pop latino / bolero / marichi;México
Maitén Montenegro;1985;Mujer;Solista;Disco;Chile
Rita Lee;1985;Mujer;Solista;Rock;Brasil
Bravo;1985;Mixto;Grupo;Balada ;España
Fernando Ubiergo;1985;Hombre;Solista;Nueva canción chilena / balada;Chile
Mirla Castellanos;1985;Mujer;Solista;Pop latino / balada / disco;Venezuela
Maria Conchita Alonso;1985;Mujer;Solista;Balada / bolero / pop;Cuba / Venezuela
Mandolino;1985;Hombre;Solista;Música melódica;Chile
Miguel Gallardo;1985;Hombre;Solista;Balada romántica ;España
Maria Marta Serra Lima;1985;Mujer;Solista;Canción melódica / bolero ;Argentina
José Feliciano;1984;Hombre;Solista;Pop latino / bolero;Puerto Rico / Estados Unidos
Andy Gibb;1984;Hombre;Solista;Disco / pop;Inglaterra
Johnny Ventura;1984;Hombre;Solista;Merengue;República Dominicana
Miguel Bosé ;1984;Hombre;Solista;Pop / baladas ;España
Daniela Romo;1984;Mujer;Solista;Pop latino / balada romántica;México
Massiel;1984;Mujer;Solista;Pop / balada / protesta;España
Pimpinela;1984;Mixto;Duo;Pop;Argentina
Yuri;1984;Mujer;Solista;Pop latino;México
José Luis Perales;1984;Hombre;Solista;Balada / jazz;España
Sheena Easton;1984;Mujer;Solista;Pop / soft rock;Escocia
Dyango;1984;Hombre;Solista;Romántico;España
Palito Ortega;1984;Hombre;Solista;Romántica / melódica;Argentina
Ricos y Pobres;1984;Mixto;Grupo;Romántico / pop;Italia
Titanic;1984;Hombre;Grupo;Rock;Noruega
Ginette Acevedo;1984;Mujer;Solista;Tradicional / balada romántica;Chile
Marcelo;1984;Hombre;Solista;Pop / nueva ola;Chile
Gloria Simonetti;1984;Mujer;Solista;Balada;Chile
Buddy Richard;1984;Hombre;Solista;Nueva ola / balada / rock;Chile
Gloria Benavides ;1984;Mujer;Solista;Nueva ola / balada;Chile
Miguel Piñera;1983;Hombre;Solista;Música popular chilena;Chile
Florcita Motuda;1983;Hombre;Solista;Beat / pop / funk;Chile
Andrea Tessa;1983;Mujer;Solista;Jazz / pop latino;Chile
Los Jaivas;1983;Mixto;Grupo;Rock folclórico;Chile
Zalo Reyes;1983;Hombre;Solista;Balada romántica / melódica;Chile
José Luis Perales;1983;Hombre;Solista;Balada / jazz;España
Silvana Di Lorenzo;1983;Mujer;Solista;Pop / balada;Argentina / Italia
Lucía Méndez;1983;Mujer;Solista;Pop latino;Estados Unidos / México
Victor Manuel;1983;Hombre;Solista;Pop / balada;España
Paloma San Basilio;1983;Mujer;Solista;Balada / copla;España
Jairo;1983;Hombre;Solista;Folclore / tango / chanson;Argentina / Francia
Miami Sound Machine;1983;Mixto;Grupo;Pop latino;Estados Unidos
Bucks Fizz;1983;Hombre;Grupo;Pop rock;Reino Unido 
Emmanuel;1983;Hombre;Solista;Balada romántica;México
Joan Baptista Humet;1983;Hombre;Solista;Canción de autor;España 
Raffaellá Carrá;1982;Mujer;Solista;Pop latino / rock / electrónica;Italia
Raphael;1982;Hombre;Solista;Balada ;España
The Police;1982;Hombre;Grupo;Rock;Inglaterra
Pecos;1982;Hombre;Duo;Pop;España
Salvatore Adamo;1982;Hombre;Solista;Balada romántica / pop;Italia / Bélgica
Miguel Bosé ;1982;Hombre;Solista;Pop / baladas ;España
Buddy Richard;1982;Hombre;Solista;Nueva ola / balada / rock;Chile
Fernando Ubiergo;1982;Hombre;Solista;Nueva canción chilena / balada;Chile
Oscar Andrade;1982;Hombre;Solista;Trova / balada;Chile
Julio Iglesias;1981;Hombre;Solista;Adult contemporary / balada;España
Camilo Sesto;1981;Hombre;Solista;Balada romántica / pop / rock;España
Miguel Bosé;1981;Hombre;Solista;Pop / balada ;España
"José Luis Rodríguez ""El Puma""";1981;Hombre;Solista;Pop latino / balada / bolero;Venezuela
K.C and the Sunshine Band;1981;Mixto;Grupo;Funk / disco;Estados Unidos
Angela Carrasco;1981;Mujer;Solista;Pop latino / balada romántica;República Dominicana
Leonardo Favio;1981;Hombre;Solista;Balada;Argentina
Gloria Simonetti;1981;Mujer;Solista;Balada;Chile
José Alfredo Fuentes;1981;Hombre;Solista;Nueva ola / balada / pop;Chile
Los Huasos Quincheros;1981;Hombre;Grupo;Folclore / bolero;Chile
Neil Sedaka;1980;Hombre;Solista;Pop;Estados Unidos
Umberto Tozzi;1980;Hombre;Solista;Pop rock;Italia 
Gloria Gaynor;1980;Mujer;Solista;Disco / soul;Estados Unidos
José Luis Rodríguez;1980;Hombre;Solista;Pop latino / balada / bolero;Venezuela
Rocío Jurado;1980;Mujer;Solista;Copla andaluza /  balada;España
Antonio Prieto;1980;Hombre;Solista;Bolero / vals;Chile
Foxy ;1980;Hombre;Grupo;Latin dance / disco;Estados Unidos
Milk and Coffee;1980;Mixto;Grupo;Pop / eurodance;Italia
Malibú;1979;Mixto;Grupo;Pop;Chile
Tavares;1979;Hombre;Grupo;Disco / R&B / soul;Estados Unidos
Matia Bazar;1979;Mixto;Grupo;Rock / música ligera;Italia
Santa Esmeralda;1979;Hombre;Grupo;Disco;Francia / Estados Unidos
Alberto Cortez;1979;Hombre;Solista;Trova / mélodica;Argentina
Paloma San Basilio;1979;Mujer;Solista;Balada / copla;España
Ricardo Cocciante;1979;Hombre;Solista;Pop;Italia / Francia
Los Marismeños;1979;Hombre;Grupo;Música andaluza ;España
Frecuencia Mod ;1979;Mujer;Grupo;Disco pop;Chile
José Velez;1979;Hombre;Solista;Balada / pop;España
Benito di Paula;1979;Hombre;Solista;Samba;Brasil
Iva Zanicchi;1978;Mujer;Solista;Pop / mélodico / blues;Italia
Pascale Petit;1978;Mujer;Solista;Balada;Francia
Pablo Abraira;1978;Hombre;Solista;Balada romántica / pop;España
Albert Hammond;1978;Hombre;Solista;Pop;Reino Unido 
The Hues Corporation ;1978;Hombre;Grupo;Soul / funk / disco;Estados Unidos
Frecuencia Mod;1978;Mujer;Grupo;Disco pop;Chile
Ricardo Ceratto;1978;Hombre;Solista;Música cristiana;Argentina
El grupo Katunga;1978;Hombre;Grupo;Ska / beat / cumbia;Argentina
Maria Creuza;1978;Mujer;Solista;MPB;Brasil
Daniel Santacruz Ensamble;1978;Mixto;Grupo;Pop;Italia
Sacramento;1978;Hombre;Grupo;Rock progresivo;Argentina
Palito Ortega;1977;Hombre;Solista;Romántica / melódica;Argentina
Julio Iglesias;1977;Hombre;Solista;Adult contemporary / balada;España
Al Bano y Romina Power;1977;Mixto;Duo;Pop romántico;Italia
Albert Hammond;1977;Hombre;Solista;Pop;Reino Unido 
Sergio y Estíbaliz;1977;Mixto;Duo;Folk;España
Manolo Otero;1977;Hombre;Solista;Balada romántica;España
Luis Dimas;1977;Hombre;Solista;Nueva ola;Chile
Gloria Benavides ;1977;Mujer;Solista;Nueva ola / balada;Chile
Trigo limpio;1977;Mixto;Grupo;Folk;España
Juan Bau;1976;Hombre;Solista;Melódica / pop;España
Manolo Galván ;1976;Hombre;Solista;Baladas románticas;España
Mari Trini;1976;Mujer;Solista;Balada / bolero;España
Osvaldo Díaz;1976;Hombre;Solista;Nueva ola / canto nuevo;Chile
Los alfiles negros;1976;Hombre;Grupo;Nueva ola / balada / rock latino;Chile
Malibú;1976;Mixto;Grupo;Pop;Chile
Sandro;1975;Hombre;Solista;Rock and roll / pop;Argentina
Julio Iglesias;1975;Hombre;Solista;Adult contemporary / balada;España
Manolo Galván;1975;Hombre;Solista;Baladas románticas;España
Roberto Carlos;1975;Hombre;Solista;Balada / rock / bossa nova;Brasil
Maitén Montenegro;1975;Mujer;Solista;Disco;Chile
Grupo Malibú.;1975;Mixto;Grupo;Pop;Chile
Camilo Sesto;1974;Hombre;Solista;Balada romántica / pop / rock;España
Ramón Vinay;1974;Hombre;Solista;ópera;Chile
Nydia Caro;1974;Mujer;Solista;Pop / new age;Estados Unidos / Puerto Rico
Jeanette;1974;Mujer;Solista;Pop / balada / rock;Inglaterra / España 
Pepe Gallinato ;1974;Hombre;Solista;Nueva ola ;Chile
Gloria Simonetti;1974;Mujer;Solista;Balada;Chile
Tony Ronald;1973;Hombre;Solista;Pop;Países bajos
Quilapayún;1973;Hombre;Grupo;Folclore / nueva canción chilena;Chile
Illapu;1973;Hombre;Grupo;Música andina / fusión latinoamericana;Chile
Gino Renni ;1973;Hombre;Solista;Balada ;Argentina / Italia
Piero;1972;Hombre;Solista;Trova / rock;Argentina / Italia
Tormenta;1972;Mujer;Solista;Rock;Argentina
Víctor Heredia;1972;Hombre;Solista;Trova / canción protesta ;Argentina 
Joan Manuel Serrat;1972;Hombre;Solista;Folk / pop melódico;España
Los Iracundos de Uruguay;1972;Hombre;Grupo;Rock;Uruguay
Peter Yarrow;1972;Hombre;Solista;Folk;EEUU
Maitén Montenegro y el Grupo Móvil;1972;;;;
Pepe Gallinato ;1972;Hombre;Solista;Nueva ola ;Chile
Miriam Makeba;1972;Mujer;Solista;Marabi / rock;Sudáfrica
Nicola Di Bari;1971;Hombre;Solista;Balada romántica;Italia
Nino Bravo;1971;Hombre;Solista;Pop;España
Las Satanicas;1971;Mujer;Grupo;;Checoslovaquia
Los Blops;1971;Hombre;Grupo;Rock / folk;Chile
Cucumén  ;1971;Mixto;Grupo;Folclore;Chile
Arturo Gatica;1971;Hombre;Solista;Folclore;
Osvaldo Diaz;1971;Hombre;Solista;Nueva ola / canto nuevo;Chile
Buddy Richard;1971;Hombre;Solista;Nueva ola / balada / rock;Chile
Los Huasos Quincheros;1970;Hombre;Grupo;Folclore / bolero;Chile
"Sonia ""la única";1970;Mujer;Solista;Boleros / melódica;Chile
Paolo Salvatore;1970;Hombre;Solista;Pop;Italia / Chile
Piero;1970;Hombre;Solista;Trova / rock;Argentina / Italia
El Maijope Show con Maitén Montenegro;1970;;;;
Raúl Labié;1970;Hombre;Solista;Tango;Argentina
Joan Manuel Serrat;1970;Hombre;Solista;Folk / pop melódico;España
Dúo Dinámico;1969;Hombre;Duo;Pop / rock and roll;España
Hermanitas Gil;1969;Mujer;Duo;Balada pop;México
Jimmy Cliff;1969;Hombre;Solista;Reggae / ska;Jamaica
Julio Iglesias;1969;Hombre;Solista;Adult contemporary / balada;España
Leonardo Favio;1969;Hombre;Solista;Balada romántica / pop / rock;Argentina
Los Gatos;1969;Hombre;Grupo;Rock ;Argentina
Nilton César ;1969;Hombre;Solista;MPB;Brasil
Con´s Combo;1969;Hombre;Grupo;Pop;Suecia
Mirtha Pérez;1969;Mujer;Solista;Latin pop;Venezuela
Bárbara y Dick;1969;Mixto;Duo;Rock / pop / balada;Argentina
Bric a Brac;1969;Mixto;Grupo;Pop rock / nueva ola;Chile
Armando Manzanero;1968;Hombre;Solista;Balada / bolero;México
Bric a Brac;1968;Mixto;Grupo;Pop rock / nueva ola;Chile
Fernando Montes;1968;Hombre;Solista;Nueva ola;Chile
Gloria Benavides ;1968;Mujer;Solista;Nueva ola / balada;Chile
Pat Henry Y Los Diablos Azules;1968;Hombre;Grupo;Rock / pop;Chile
Sandro;1968;Hombre;Solista;Rock and roll / pop;Argentina
Ennio Sangiusto;1967;Hombre;Solista;Música ligera / twist;Italia
Ferran Alabert;1967;Hombre;Solista;Folclore / música popular;Chile
Los Jocker´s;1967;Hombre;Grupo;Rock;Chile
Massiel ;1967;Mujer;Solista;Pop / balada / protesta;España
Pedro Messone ;1967;Hombre;Solista;Folclore / trova ;Chile
Dúo Dinámico;1966;Hombre;Duo;Pop / rock and roll;España
Ennio Sangiusto;1966;Hombre;Solista;Música ligera / twist;Italia
Ferran Alabert;1966;Hombre;Solista;Música ligera / twist;Chile
Los Huasos Quincheros;1966;Hombre;Grupo;Folclore / bolero;Chile
Chabuca Granda;1965;Mujer;Solista;Música tradicional / criolla;Chile
Gloria Benavides ;1965;Mujer;Solista;Nueva ola / balada;Chile
Hector Gagliardi;1965;Hombre;Solista;Poesía lunfarda;Argentina
Las Cuatro Brujas;1965;Mujer;Grupo;Folclore / tornada / refalosa;Chile
Los Hermanos Campos;1965;Hombre;Grupo;Folclore / cueca ;Chile
Los Tigres;1965;Hombre;Grupo;Rock and roll ;Chile
Monna Bell;1965;Mujer;Solista;Jazz / blues;Chile
Pat Henry  ;1965;Hombre;Solista;Rock / pop;Chile
Lorenzo Valderrama;1964;Hombre;Solista;Bolero ;Chile
Los Blue Splendor ;1964;Hombre;Grupo;Rock / nueva ola;Chile
Los Cantores de Rucamanqui;1964;;;;Chile
Maggie;1964;Mujer;Solista;Disco;Chile
Juan Chocolate Rodriguez;1963;Hombre;Solista;Música tropical;Chile
Enrique Guzman ;1963;Hombre;Solista;Rock and roll / balada romántica;México / Venezuela
Gloria Benavides ;1963;Mujer;Solista;Nueva ola / balada;Chile
Lorenzo Valderrama;1963;Hombre;Solista;Bolero;Chile
Antonio Prieto;1962;Hombre;Solista;Bolero / vals;Chile
El chúcaro;1962;Hombre;Solista;Folclore;Argentina
Los hermanos Silva;1962;Mixto;Grupo;Música típica chilena;Chile
Los ramblers;1962;Hombre;Grupo;Jazz / rock an roll;Chile
Jimmy Lane;1962;Hombre;Solista;Nueva ola;Chile
Baby Bell;1961;Mujer;Solista;Folk ;Argentina
Dixieland Hot Jazz;1961;Hombre;Grupo;Jazz;Estados Unidos
Lorenzo Valderrama;1961;Hombre;Solista;Bolero;Chile
Orquesta Huambaly ;1961;Hombre;Grupo;Tropical / jazz;Chile
Los Huasos Quincheros;1960;Hombre;Grupo;Folclore / bolero;Chile
Ricardo Arancibia;1960;Hombre;Solista;Folclore;Chile
Teal Joy;1960;Mujer;Solista;Jazz;Estados Unidos / Japón
