,Año,Género F/M/Mixto,Grupo/solista,Género musical,Nacionalidad,¿Aparece en top 20 NACIONAL antes del festival?,¿Aparece top 100 NACIONAL antes del festival? TOPCHARTS,¿Cuántas veces aparece?,Posición en el chart,Peak de rating,Gaviotas,Antorchas,¿Aparece top 20 después del festival?,¿Aparece top 100 después del festival?,¿Cuántas veces aparece?,Chart,¿Subió o bajó?,,,,
Marc Anthony ,2025,Hombre,Solista,Salsa,Estados Unidos/ Puerto Rico,no,PENDIENTE,0,0,22.5,2,No se dan,no,,0,0,-,,,,
Bacilos,2025,Hombre,Grupo,Pop Latino,Estados Unidos,no,PENDIENTE,0,0,14.9,2,No se dan,no,,0,0,-,,,,
Myriam Hernandez,2025,Mujer,Solista ,Balada Romántica,Chile,no,PENDIENTE,0,0,41.9,3,No se dan,no,,0,0,-,,,,
Ha*Ash,2025,Mujer,Duo,Pop  ,México,no,PENDIENTE,0,0,14.5,2,No se dan,no,,0,0,-,,,,
Morat ,2025,Hombre,Grupo,Pop  Latino,Colombia,no,PENDIENTE,0,0,-,2,No se dan,no,,0,0,-,,,,
Sebastian Yatra,2025,Hombre,Solista,Pop Latino ,Colombia,no,PENDIENTE,0,0,-,2,No se dan,no,,0,0,-,,,,
Carlos Vives,2025,Hombre,Solista,Pop tropical,Colombia,no,PENDIENTE,0,0,39.3,2,No se dan,no,,0,0,-,,,,
Carín Leon,2025,Hombre,Solista,Regional Mexicana,México,no,PENDIENTE,0,0,10.2,2,No se dan,no,,0,0,-,,,,
Incubus,2025,Mixto,Grupo,Rock Alternativo,EEUU,no,PENDIENTE,0,0,-,2,No se dan,no,,0,0,-,,2,,
The Cult,2025,Hombre,Grupo,Hard rock,Reino Unido,no,PENDIENTE,0,0,-,2,No se dan,no,,0,0,-,,2,,
Duki,2025,Hombre,Solista,Trap,Argentina,no,PENDIENTE,0,0,-,2,No se dan,no,,0,0,-,2025,27,,
Eladio Carrion,2025,Hombre,Solista,Trap,Puerto Rico,no,PENDIENTE,0,0,-,2,No se dan,no,,0,0,-,2024,24,,
Kid Voodoo,2025,Hombre,Solista,Urbano,Chile,si,PENDIENTE,1,2,-,2,No se dan,si,,1,1,Subió ,2023,24,,
Alejandro Sanz,2024,Hombre,Solista,Balada romántica,España,no,PENDIENTE,0,0,-,2,No se dan,no,,0,0,-,,,,
Manuel Turizo,2024,Hombre,Solista,Urbano ,Colombia,no,PENDIENTE,0,0,-,2,No se dan,no,,0,0,-,,,,
Andrea Bocelli,2024,Hombre,Solista,Clásica ,Italia,no,PENDIENTE,0,0,-,2,No se dan,no,,0,0,-,2020,24,,
MIRANDA!,2024,Mixto,Duo,Electropop,Argentina,no,PENDIENTE,0,0,-,2,No se dan,no,,0,0,-,2019,26,,
Maná,2024,Hombre,Grupo,Rock  ,México,no,PENDIENTE,0,0,35.4,2,No se dan,no,,0,0,-,2018,26,,
Men at Work,2024,Hombre,Grupo,Pop ,Australia,no,PENDIENTE,0,0,9.1,2,No se dan,no,,0,0,-,2017,29,,
Mora ,2024,Hombre,Solista,Urbano,Puerto Rico,si,PENDIENTE,2,"14, 15",-,2,No se dan,si,,2,13.15,Subió,2016,24,,
Anitta,2024,Mujer,Solista,Pop funk ,Brasil,no,PENDIENTE,0,0,-,2,No se dan,no,,0,0,-,,,,
Los Bunkers,2024,Hombre,Grupo,Rock  Alternativo,Chile,no,PENDIENTE,0,0,-,2,No se dan,no,,0,0,-,,,,
Young Cister,2024,Hombre,Solista,Urbano,Chile,no,PENDIENTE,0,0,-,2,No se dan,no,,0,0,-,,,,
Trueno,2024,Hombre,Solista,Hip Hop / Rap,Argentina,no,PENDIENTE,0,0,-,2,No se dan,no,,0,0,-,,,,
Maria Becerra,2024,Mujer,Solista,Pop ,Argentina,no,PENDIENTE,0,0,-,2,No se dan,no,,0,0,-,,,,
Karol G,2023,Mujer,Solista,Urbano ,Colombia,no,PENDIENTE,0,0,-,2,No se dan,no,,0,0,-,,,,
Paloma Mami,2023,Mujer,Solista,Urbano ,Chile,no ,PENDIENTE,0,0,-,2,No se dan,no,,0,0,-,,,,
Tini,2023,Mujer,Solista,Pop ,Argentina,no,PENDIENTE,0,0,-,2,No se dan,no,,0,0,-,,,,
Emilia,2023,Mujer,Solista,Pop ,Argentina,no,PENDIENTE,0,0,-,2,No se dan,no,,0,0,-,,,,
Alejandro Fernandez,2023,Hombre,Solista,Ranchera / pop latino,México,no ,PENDIENTE,0,0,-,2,No se dan,no,,0,0,-,,,,
Los Jaivas,2023,Mixto,Grupo,Rock folclórico,Chile,no ,PENDIENTE,0,0,-,2,No se dan,no,,0,0,-,,,,
Fito Paez,2023,Hombre,Solista,Rock,Argentina,no ,PENDIENTE,0,0,-,2,No se dan,no,,0,0,-,,,,
Rels B,2023,Hombre,Solista,Urbano,España,no ,PENDIENTE,0,0,-,2,No se dan,no,,0,0,-,,,,
Christina Aguilera,2023,Mujer,Solista,Pop,Estados Unidos,no ,PENDIENTE,0,0,-,2,No se dan,no,,0,0,-,,,,
Polima Wescoast,2023,Hombre,Solista,Trap,Chile,si,PENDIENTE,2,6.12,-,2,No se dan,si,,2,7.17,Bajó,,,,
Camilo,2023,Hombre,Solista,Pop ,Colombia,no ,PENDIENTE,0,0,-,2,No se dan,no,,0,0,-,,,,
Nicki Nicole,2023,Mujer,Solista,Urbano,Argentina,no,PENDIENTE,0,0,-,2,No se dan,no,,0,0,-,,,,
Ricky Martin,2020,Hombre,Solista,Pop  Latino,Puerto Rico,no,No,0,0,-,2,No se dan,no,No,0,0,-,,,,
Pedro Capó,2020,Hombre,Solista,Pop romántico,Puerto Rico,no,Sí,2,"25, 62",-,2,No se dan,no,Sí,2,"24, 62",Subió,,,,
Mon Laferte,2020,Mujer,Solista,Pop / balada / rock alternativo,Chile,no,Sí,1,54,-,2,No se dan,no,Sí,2,"42,  80",Subió,,,,
Francisca Valenzuela,2020,Mujer,Solista,Pop rock,Chile,no,No,0,0,-,2,No se dan,no,No,0,0,-,,,,
Ana gabriel,2020,Mujer,Solista,Pop latino / balada romántica / ranchera,México,no,No,0,0,-,2,No se dan,no,Sí,1,83,Ingresó,,,,
Pimpinela,2020,Mixto,Duo,Pop ,Argentina,no,No,0,0,-,2,No se dan,no,No,0,0,-,,,,
Pablo Alborán,2020,Hombre,Solista,Pop ,España,no,No,0,0,-,2,No se dan,no,Sí,1,77,Ingresó,,,,
Luciano Pereyra,2020,Hombre,Solista,Pop ,Argentina,no,No,0,0,-,2,No se dan,no,Sí,1,92,Ingresó,,,,
Maroon 5,2020,Hombre,Grupo,Pop rock,Estados Unidos,no,Sí,1,94,-,0,No se dan,no,Sí,6,"29, 55, 79, 86, 90,98",Subió ,,,,
Alexandre Pires,2020,Hombre,Solista,Pagode,Brasil,no,No,0,0,-,2,No se dan,no,No,0,0,-,,,,
Ozuna,2020,Hombre,Solista,Reggaeton,Puerto Rico,Sí,Sí,6,"11, 19, 22, 23, 69, 88, 99",-,2,No se dan,Sí,Sí,4,"16, 20, 24, 84",Subió,,,,
Denise Rosenthal ,2020,Mujer,Solista,Pop latino,Chile,no ,No,0,0,-,2,No se dan,no,Sí,2,"76, 96 ",Ingresó,,,,
Noche de Brujas ,2020,Hombre,Grupo,Cumbia,Chile,no,No,0,0,-,2,No se dan,no,No,0,0,-,,,,
Wisin & Yandel,2019,Hombre,Duo,Reggaeton,Puerto Rico,no ,Sí,1,13,-,2,No se dan,no,PENDIENTE,0,0,-,,,,
Sebastian Yatra,2019,Hombre,Solista,Pop latino,Colombia,no ,Sí,1,40,-,2,No se dan,no,PENDIENTE,0,0,-,,,,
Raphael,2019,Hombre,Solista,Balada,España,no ,No,0,0,-,2,No se dan,no,PENDIENTE,0,0,-,,,,
Yuri,2019,Mujer,Solista,Pop latino,México,no ,No,0,0,-,2,No se dan,no,PENDIENTE,0,0,-,,,,
Marc Anthony ,2019,Hombre,Solista,Salsa,Estados Unidos/ Puerto Rico,no ,Sí,1,32,-,2,No se dan,no,PENDIENTE,0,0,-,,,,
David Bisbal,2019,Hombre,Solista,Pop,España,no ,No,0,0,-,2,No se dan,no,PENDIENTE,0,0,-,,,,
Marco Antonio Solis ,2019,Hombre,Solista,Balada Romántica / pop,México,no ,No,0,0,-,2,No se dan,no,PENDIENTE,0,0,-,,,,
Carlos Rivera,2019,Hombre,Solista,Pop balada,México,no ,No,0,0,-,2,No se dan,no,PENDIENTE,0,0,-,,,,
Backstreet Boys,2019,Hombre,Grupo,Pop,Estados Unidos,no ,No,0,0,-,2,No se dan,no,PENDIENTE,0,0,-,,,,
Cami,2019,Mujer,Solista,Folk / soul / pop,Chile,no ,No,0,0,-,2,No se dan,no,PENDIENTE,0,0,-,,,,
Bad Bunny,2019,Hombre,Solista,Reggaeton / trap,Puerto Rico,Sí,Sí,3,"13, 23, 32",-,2,No se dan,Sí,PENDIENTE,1,12,Subió,,,,
Becky G,2019,Mujer,Solista,Reggaeton,Estados Unidos,no ,Sí,2,"14, 16",-,2,No se dan,Sí,PENDIENTE,1,20,Ingtresó,,,,
Ricky Martin,2019,Hombre,Solista,Pop latino,Puerto Rico,no,No,0,0,-,2,No se dan,no,PENDIENTE,0,0,-,,,,
Miguel Bosé ,2018,Hombre,Solista,Pop / baladas,España,no ,No,0,0,-,2,No se dan,no,No,0,0,-,,,,
Illapu,2018,Hombre,Grupo,Música andina / fusión latinoamericana,Chile,no ,No,0,0,-,2,No se dan,no,No,0,0,-,,,,
Luis Fonsi,2018,Hombre,Solista,Pop latino,Puerto Rico,Sí,Sí,2,"2, 35",-,2,No se dan,Sí,Sí,2,2.34,Mantuvo,,,,
Gente de Zona,2018,Hombre,Duo,Urbano,Cuba,no,Sí,1,3,-,2,No se dan,no,Sí,2,"3, 97",-,,,,
Jamiroquai,2018,Hombre,Grupo,Fuk / acid jazz,Reino Unido,no,No,0,0,-,2,No se dan,no,No,0,0,-,,,,
Europe ,2018,Hombre,Grupo,Hard rock,Suecia,no,No,0,0,-,2,No se dan,no,No,0,0,-,,,,
Jesse & Joy,2018,Mixto,Duo,Pop,México,no,Sí,1,3,-,2,No se dan,Sí,Sí,2,"3, 12",Ingresó,,,,
Prince Royce ,2018,Hombre,Solista,Bachata,Estados Unidos,no,Sí,1,38,-,2,No se dan,no,Sí,1,38,-,,,,
Carlos Vives,2018,Hombre,Solista,Pop tropical,Colombia,no,Sí,1,6,-,2,No se dan,no,Sí,1,9,-,,,,
Ha*Ash,2018,Mujer,Duo,Pop,México,no,Sí,1,38,-,2,No se dan,no,Sí,1,38,-,,,,
CNCO,2018,Hombre,Grupo,Reggaeton / pop latino,Estados Unidos (ahí se crearon),no,Sí,3,"15,21,46",-,2,No se dan,no,Sí,3,"13,17,37",-,,,,
Augusto Schuster ,2018,Hombre,Solista,Pop,Chile,no,No,0,0,-,2,No se dan,no,No,0,0,-,,,,
Zion & Lennox,2018,Hombre,Duo,Reggeaton,Puerto Rico,no,Sí,1,57,-,2,No se dan,no,No,0,0,-,,,,
Los Fabulosos Cadillacs,2017,Hombre,Grupo,Ska,Argentina,no,No,0,0,-,2,No se dan,no,Sí,4,"47,48,69,70",Ingresó,,,,
Los Auténticos Decadentes ,2017,Hombre,Grupo,Rock / ska,Argentina,no,No,0,0,-,2,No se dan,no,Sí,2,"40, 68",Ingresó,,,,
Sin Bandera,2017,Hombre,Duo,Pop / baladas / ranchera ,México,no,No,0,0,-,2,No se dan,no,Sí,4,"36,49,50,73",Ingresó,,,,
Camila,2017,Hombre,Grupo,Pop rock,México,no,No,0,0,-,2,No se dan,no,Sí,3,"65,99,100",Ingresó,,,,
Isabel Pantoja ,2017,Mujer,Solista,Copla / flamenco / pop,España,no,No,0,0,-,3,No se dan,no,Sí,1,67,Ingresó,,,,
Río Roma,2017,Hombre,Duo,Pop latino,México,no,Sí,1,40,-,2,No se dan,no,No,0,0,Bajó,,,,
Olivia Newton-John,2017,Mujer,Solista,Pop,Australia,no,No,0,0,-,2,No se dan,no,No,0,0,-,,,,
Peter Cetera,2017,Hombre,Solista,Rock,Estados Unidos ,no,No,0,0,-,2,No se dan,no,No,0,0,-,,,,
Maluma,2017,Hombre,Solista,Reggaeton / urbano,Colombia,Sí,Sí,9,"3, 4, 6, 13,14,47,48,76",-,2,No se dan,Sí,Sí,13,"2,3, 4, 6, 9,10,27,30,32,35,80,90",Subió,,,,
Américo,2017,Hombre,Solista,Cumbia tropical ,Chile,no ,Sí,1,81,-,2,No se dan,no,No,0,0,Bajó,,,,
J Balvin,2017,Hombre,Solista,Reggaeton,Colombia,Sí,Sí,3,"17,28, 49",-,2,No se dan,Si,Sí,6,"12, 17,18,57,87,88",Subió,,,,
Lali Esposito,2017,Mujer,Solista,Pop,Argentina,no ,No,0,0,-,2,No se dan,no,No,0,0,-,,,,
Mon Laferte,2017,Mujer,Solista,Pop / balada / rock alternativo,Chile,Sí,Sí,3,"2, 10, 27",-,2,No se dan,Sí,Sí,4,"6,19,71,72",Ingresó ,,,,
Márama y Rombai,2017,Mixto,Grupo,Cumbia pop,Uruaguay ,no ,No,0,0,-,2,No se dan,no,No,0,0,-,,,,
Marco Antonio Solis ,2016,Hombre,Solista,Balada Romántica / pop,México,no ,PENDIENTE,0,0,-,2,No se dan,no,PENDIENTE,0,0,-,,,,
Ricardo Montaner,2016,Hombre,Solista,Balada romántica,Venezuela,no ,PENDIENTE,0,0,-,2,No se dan,no,PENDIENTE,0,0,-,,,,
Eros Ramazzotti,2016,Hombre,Solista,Pop rock,Italia,no ,PENDIENTE,0,0,-,2,No se dan,no,PENDIENTE,0,0,-,,,,
Ana Torroja,2016,Mujer,Solista,Pop,España,no ,PENDIENTE,0,0,-,2,No se dan,no,PENDIENTE,0,0,-,,,,
Alejandro Sanz ,2016,Hombre,Solista,Balada romántica,España,Sí,PENDIENTE,1,18,-,2,No se dan,Sí,PENDIENTE,1,1,Subió,,,,
Luis Jara,2016,Hombre,Solista,Romántico,Chile,no ,PENDIENTE,0,0,-,2,No se dan,no,PENDIENTE,0,0,-,,,,
Lionel Richie ,2016,Hombre,Solista,Pop / soul / R&B,Estados Unidos,no ,PENDIENTE,0,0,-,2,No se dan,no,PENDIENTE,0,0,-,,,,
Rick Astley,2016,Hombre,Solista,Pop,Reino Unido,no ,PENDIENTE,0,0,-,2,No se dan,no,PENDIENTE,0,0,-,,,,
Pablo Alborán,2016,Hombre,Solista,Pop,España,no ,PENDIENTE,0,0,-,2,No se dan,no,PENDIENTE,0,0,-,,,,
Nicky Jam,2016,Hombre,Solista,Reggaeton,Estados Unidos,Sí,PENDIENTE,1,13,-,2,No se dan,Sí,PENDIENTE,1,10,Subió,,,,
Wisin ,2016,Hombre,Solista,Reggaeton,Puerto Rico,Sí,PENDIENTE,2,"7, 17",-,2,No se dan,Sí,PENDIENTE,2,4.17,Subió,,,,
Don Omar ,2016,Hombre,Solista,Reggaeton,Puerto Rico,Sí,PENDIENTE,1,17,-,2,No se dan,Sí,PENDIENTE,1,17,Mantuvo,,,,
Luis Fonsi,2015,Hombre,Solista,Pop latino,Puerto Rico,no ,PENDIENTE,0,0,-,2,No se dan,no,PENDIENTE,no,no,-,,,,
Yandel,2015,Hombre,Solista,Reggaeton,Puerto Rico,si,PENDIENTE,1,6,-,2,No se dan,si,PENDIENTE,1,3,subio,,,,
Ricardo Arjona ,2015,Hombre,Solista,Pop latino,Guatemala,no ,PENDIENTE,0,0,-,2,No se dan,no,PENDIENTE,no,no,-,,,,
Reik ,2015,Hombre,Grupo,Pop latino,México,no ,PENDIENTE,0,0,-,2,No se dan,no,PENDIENTE,no,no,-,,,,
Alejandro Fernández ,2015,Hombre,Solista,Ranchera / pop latino,México,no ,PENDIENTE,0,0,-,2,No se dan,no,PENDIENTE,no,no,-,,,,
Nicole,2015,Mujer,Solista,Pop rock,Chile,no ,PENDIENTE,0,0,-,2,No se dan,no,PENDIENTE,no,no,-,,,,
Emmanuel ,2015,Hombre,Solista,Balada romántica,México,no ,PENDIENTE,0,0,-,2,No se dan,no,PENDIENTE,no,no,-,,,,
Vicentico,2015,Hombre,Solista,Rock pop,Argentina,no ,PENDIENTE,0,0,-,2,No se dan,no,PENDIENTE,no,no,-,,,,
Pedro Aznar,2015,Hombre,Solista,Rock / jazz,Argentina,no ,PENDIENTE,0,0,-,2,No se dan,no,PENDIENTE,no,no,-,,,,
Cultura Profética ,2015,Hombre,Grupo,Reggae / salsa / hip hop / jazz,Puerto Rico,no ,PENDIENTE,0,0,-,2,No se dan,no,PENDIENTE,no,no,-,,,,
Romeo Santos ,2015,Hombre,Solista,Bachata,Estados Unidos ,si,PENDIENTE,1,4,-,2,No se dan,si,PENDIENTE,2,4.1,-,,,,
Noche de Brujas ,2015,Hombre,Grupo,Cumbia ,Chile,no ,PENDIENTE,0,0,-,2,No se dan,no,PENDIENTE,no,no,-,,,,
Yusuf Cat Stevens ,2015,Hombre,Solista,Folk / rock / pop,Reino Unido,no ,PENDIENTE,0,0,-,2,No se dan,no,PENDIENTE,no,no,-,,,,
Nano Stern ,2015,Hombre,Solista,Jazz / trova / folk / rock ,Chile,no ,PENDIENTE,0,0,-,2,No se dan,no,PENDIENTE,no,no,-,,,,
Óscar D'León ,2015,Hombre,Solista,Salsa,Venezuela,no ,PENDIENTE,0,0,-,2,No se dan,no,PENDIENTE,no,no,-,,,,
Ricky Martin ,2014,Hombre,Solista,Pop latino,Puerto Rico,no ,Sí,1,10,-,2,2,Si ,Sí,1,10,Mantuvo,,,,
Los Tres,2014,Hombre,Grupo,Rock,Chile,no ,Sí,1,56,-,2,2,si,Sí,1,79,Bajó,,,,
Laura Pausini,2014,Mujer,Solista,Pop rock / balada ,Italia ,no ,Sí,2,"80,100c",-,2,2,si,Sí,2,"68,80c",Subió,,,,
Fito Páez,2014,Hombre,Solista,Rock,Argentina,no ,No,0,0,-,2,2,no,No,0,0,-,,,,
Ana Gabriel ,2014,Mujer,Solista,Pop latino / balada romántica / ranchera,México,no ,No,0,0,-,2,2,no,No,0,0,-,,,,
Raphael,2014,Hombre,Solista,Balada,España,no ,No,0,0,-,2,2,no,No,0,0,-,,,,
La Ley,2014,Hombre,Grupo,Rock,Chile,no ,No,0,0,-,2,2,no,No,0,0,-,,,,
Carlos Vives ,2014,Hombre,Solista,Pop tropical,Colombia,si,No,0,0,-,2,2,si,Sí,1,81,Ingresó,,,,
Gepe,2014,Hombre,Solista,Folclore / pop,Chile,no,No,0,0,-,2,2,no,No,0,0,-,,,,
Yandar & Yostin,2014,Hombre,Duo,Reggaeton urbano,Colombia,no,Sí,1,5,-,2,2,si,Sí,1,5,-,,2015,30,
Rod Stewart ,2014,Hombre,Solista,Rock ,Inglaterra,no,No,0,0,-,2,2,no,No,0,0,-,,2014,34,34
Paloma San Basilio ,2014,Mujer,Solista,Balada / copla,España,no,No,0,0,-,2,2,no,No,0,0,-,,2013,29,32
La Sonora Palacios  ,2014,Hombre,Grupo,Cumbia ,Chile,no,No,0,0,-,2,2,no,No,0,0,-,,2012,20,32
Jesse & Joy,2014,Mixto,Duo,Pop,México,si,Sí,2,18.34,-,2,2,si,Sí,3,"19,32,95",Ingresó,,2011,14,28
Melendi,2014,Hombre,Solista,Pop,España,no,Sí,2,41.57,-,2,2,si,Sí,2,"46, 53",Subió,,2010,9,20
Tommy Torres,2014,Hombre,Solista,Pop,Puerto Rico,no,Sí,1,86,-,2,2,no,No,0,0,Bajó,,2009,12,15
Alexis & Fido,2014,Hombre,Duo,Reggaeton,Puerto Rico,no,No,0,0,-,2,2,np,No,0,0,-,,2008,12,32
Maná,2013,Hombre,Grupo,Rock,México,no,Sí,1,32,-,2,2,si,Sí,1,33,Bajó,,2007,9,32
Chino & Nacho,2013,Hombre,Duo,Pop latino / reggaeton,Venezuela,no,No,0,0,-,0,2,no,No,0,0,-,,2006,8,36
Romeo Santos ,2013,Hombre,Solista,Bachata,Estados Unidos,no,Sí,2,54.74,-,2,2,si,Sí,2,63.68,Bajó,,2005,9,44
Daddy Yankee,2013,Hombre,Solista,Reggaeton,Puerto Rico,si,Sí,2,"3, 49",-,2,2,si,Sí,2,2.6,Subió ,,2004,23,38
Miguel Bosé ,2013,Hombre,Solista,Pop / baladas,España,no,Sí,1,16,-,2,2,si,Sí,1,17,Bajó,,2003,4,23
Jonas Brothers,2013,Hombre,Grupo,Pop,Estados Unidos,no,No,0,0,-,2,2,no,No,0,0,-,,2002,0,15
31 Minutos,2013,Mixto,Grupo,Rock / funk / folclore / electrónica,Chile,no,No,0,0,-,2,2,no,No,0,0,-,,,,
Francisca Valenzuela ,2013,Mujer,Solista,Pop rock,Chile,no,No,0,0,-,2,2,no,No,0,0,-,,,,
Jorge González,2013,Hombre,Solista,Pop rock,Chile,no,No,0,0,-,2,2,no,No,0,0,-,,,,
Elton John ,2013,Hombre,Solista,Rock / pop,Inglaterra,no,No,0,0,-,2,2,no,No,0,0,-,,,,
Albert Hammond,2013,Hombre,Solista,Pop,Reino Unido,no,No,0,0,-,1,2,no,No,0,0,-,,,,
La Sonora de Tommy Rey ,2013,Hombre,Grupo,Cumbia ,Chile,no,No,0,0,-,2,2,no,No,0,0,-,,,,
Wisin & Yandel ,2013,Hombre,Duo,Reggaeton,Puerto Rico,si,Sí,2,"1,10,",-,2,2,si,Sí,2,1.13,Mantuvo,,,,
Gloria Trevi,2013,Mujer,Solista,Pop latino / rock,México,no,No,0,0,-,2,2,no,No,0,0,-,,,,
Pablo Alborán,2013,Hombre,Solista,Pop,España,no,Sí,3,"18,24,66",-,2,2,no,No,0,0,-,,,,
Los Auténticos Decadentes ,2013,Hombre,Grupo,Rock / ska,Argentina,no,No,0,0,-,2,2,no,No,0,0,-,,,,
Diego Torres,2012,Hombre,Solista,Pop latino,Argentina,no,PENDIENTE,0,0,-,0,2,no,PENDIENTE,0,0,-,,,,
Luis Miguel ,2012,Hombre,Solista,Pop latino / bolero / marichi,México,no,PENDIENTE,0,0,-,3,2,no,PENDIENTE,0,0,-,,,,
Camila,2012,Hombre,Grupo,Pop rock,México,no,PENDIENTE,0,0,-,1,2,no,PENDIENTE,0,0,-,,,,
Marc Anthony ,2012,Hombre,Solista,Salsa,Estados Unidos/ Puerto Rico,no,PENDIENTE,0,0,-,2,2,no,PENDIENTE,0,0,-,,,,
Daniel Muñoz,2012,Hombre,Solista,Cueca urbana ,Chile,no,PENDIENTE,0,0,-,0,2,no,PENDIENTE,0,0,-,,,,
Salvatore Adamo ,2012,Hombre,Solista,Balada Romántica / pop,Italia / Bélgica,no,PENDIENTE,0,0,-,1,2,no,PENDIENTE,0,0,-,,,,
Morrissey ,2012,Hombre,Solista,Rock alternativo,Inglaterra,no,PENDIENTE,0,0,-,0,2,no,PENDIENTE,0,0,-,,,,
Los Bunkers,2012,Hombre,Grupo,Rock alternativo,Chile,no,PENDIENTE,0,0,-,2,2,no,PENDIENTE,0,0,-,,,,
Manuel García,2012,Hombre,Solista,Rock / trova / folk,Chile,no,PENDIENTE,0,0,-,2,2,no,PENDIENTE,0,0,-,,,,
Garras de Amor,2012,Hombre,Grupo,Cumbia Romántica,Argentina,no,PENDIENTE,0,0,-,0,2,no,PENDIENTE,0,0,-,,,,
Ráfaga ,2012,Hombre,Grupo,Cumbia ,Argentina,no,PENDIENTE,0,0,-,0,2,no,PENDIENTE,0,0,-,,,,
Luis Fonsi ,2012,Hombre,Solista,Pop latino,Puerto Rico,no,PENDIENTE,0,0,-,2,2,no,PENDIENTE,0,0,-,,,,
Rosana ,2012,Mujer,Solista,Pop latino / folk pop,España,no,PENDIENTE,0,0,-,2,2,no,PENDIENTE,0,0,-,,,,
Prince Royce ,2012,Hombre,Solista,Bachata,Estados Unidos,Sí,PENDIENTE,1,18,-,1,2,Si ,PENDIENTE,1,8,Subió,,,,
