,Año,Género F/M/Mixto,Grupo/solista,Género musical,Nacionalidad,¿Aparece en top 20 NACIONAL antes del festival?,¿Aparece top 100 NACIONAL antes del festival? TOPCHARTS,¿Cuántas veces aparece?,Posición en el chart,Peak de rating,Gaviotas,Antorchas,¿Aparece top 20 después del festival?,¿Aparece top 100 después del festival?,¿Cuántas veces aparece?,Chart,¿Subió o bajó?,,,,
José Luis Perales ,2012,Hombre,Solista,Balada / jazz,España,no ,PENDIENTE,0,0,-,2,2,no,PENDIENTE,0,0,-,,,,
Juan Luis Guerra,2012,Hombre,Solista,Bachata,República Dominicana,no,PENDIENTE,0,0,-,2,2,no,PENDIENTE,0,0,-,,,,
Roberto Carlos,2011,Hombre,Solista,Balada / rock / bossa nova,Brasil,no ,PENDIENTE,0,0,-,1,2,no,PENDIENTE,0,0,-,,,,
Yuri,2011,Mujer,Solista,Pop latino,México,no ,PENDIENTE,0,0,-,1,2,no,PENDIENTE,0,0,-,,,,
Américo,2011,Hombre,Solista,Cumbia tropical ,Chile,no ,PENDIENTE,0,0,-,1,2,no,PENDIENTE,0,0,-,,,,
Aventura,2011,Hombre,Grupo,Bachata,República Dominicana,Sí,PENDIENTE,1,16,-,2,2,Si ,PENDIENTE,1,12,Subió,,,,
Marco Antonio Solis,2011,Hombre,Solista,Balada Romántica / pop,México,no ,PENDIENTE,0,0,-,1,2,no,PENDIENTE,0,0,-,,,,
Calle 13 ,2011,Mixto,Grupo,Rap fusión latino,Puerto Rico,no,PENDIENTE,0,0,-,0,2,,PENDIENTE,0,0,#¡VALOR!,,,,
Chayanne,2011,Hombre,Solista,Pop latino,Puerto Rico,no,PENDIENTE,0,0,-,2,2,Sí,PENDIENTE,1,9,ingresó,,,,
Carlos Baute,2011,Hombre,Solista,Pop,Venezuela,no,PENDIENTE,0,0,-,0,2,Sí,PENDIENTE,1,15,ingresó,,,,
Pitbull,2011,Hombre,Solista,Hip hop / reggaeton,Estados Unidos,Sí,PENDIENTE,1,11,-,0,2,Sí,PENDIENTE,1,14,bajo ,,,,
Sting,2011,Hombre,Solista,Pop rock,Reino Unido,no,PENDIENTE,0,0,-,2,2,no,PENDIENTE,0,0,-,,,,
Los Jaivas,2011,Mixto,Grupo,Rock folclórico,Chile,no,PENDIENTE,0,0,-,2,2,no,PENDIENTE,0,0,-,,,,
Alejandro Sanz,2011,Hombre,Solista,Balada romántica,España,no,PENDIENTE,0,0,-,2,2,no,PENDIENTE,0,0,-,,,,
Noel Schajris,2011,Hombre,Solista,Pop latino / balada romántica,Argentina / México,no,PENDIENTE,0,0,-,0,2,no,PENDIENTE,0,0,-,,,,
Villa Cariño y Los Vikings 5,2011,Hombre,Grupo,Cumbia ,Chile,no,PENDIENTE,0,0,-,0,2,no,PENDIENTE,0,0,-,,,,
Reik,2010,Hombre,Grupo,Pop latino,México,no ,PENDIENTE,0,0,-,0,2,,PENDIENTE,0,0,-,,,,
Don Omar ,2010,Hombre,Solista,Reggaeton,Puerto Rico,Sí,PENDIENTE,1,20,-,1,2,Sí,PENDIENTE,1,11,Subió,,,,
Raphael,2010,Hombre,Solista,Balada,España,no ,PENDIENTE,0,0,-,1,2,no,PENDIENTE,0,0,-,,,,
Miranda!,2010,Mixto,Duo,Electropop,Argentina / México,no ,PENDIENTE,0,0,-,0,2,no,PENDIENTE,0,0,-,,,,
Américo,2010,Hombre,Solista,Cumbia tropical ,Chile,Sí,PENDIENTE,1,13,-,2,2,Sí,PENDIENTE,2,"5, 19",Ingresó y subió,,,,
Paul Anka,2010,Hombre,Solista,Pop / jazz,Canadá,no,PENDIENTE,0,0,-,1,2,no,PENDIENTE,0,0,-,,,,
Tito el Bambino,2010,Hombre,Solista,Reggaeton,Puerto Rico,no,PENDIENTE,0,0,-,1,2,no,PENDIENTE,0,0,-,,,,
La Noche ,2010,Hombre,Grupo,Tropical / cumbia ,Chile,no,PENDIENTE,0,0,-,1,2,no,PENDIENTE,0,0,-,,,,
Ricardo Arjona,2010,Hombre,Solista,Pop latino ,Guatemala,no,PENDIENTE,0,0,-,2,2,no,PENDIENTE,0,0,-,,,,
Fanny Lu,2010,Mujer,Solista,Pop latino / tropipop,Colombia ,no,PENDIENTE,0,0,-,0,2,no,PENDIENTE,0,0,-,,,,
Joan Manuel Serrat,2009,Hombre,Solista,Folk / pop melódico,España,no,PENDIENTE,0,0,-,0,1,no,PENDIENTE,0,0,-,,,,
La Noche ,2009,Hombre,Grupo,Tropical / cumbia ,Chile,no,PENDIENTE,0,0,-,1,2,no,PENDIENTE,0,0,-,,,,
Juanes ,2009,Hombre,Solista,Pop latino / rock,Colombia ,no,PENDIENTE,0,0,-,1,2,no,PENDIENTE,0,0,-,,,,
Camila,2009,Hombre,Grupo,Pop rock,México,no,PENDIENTE,0,0,-,1,2,no,PENDIENTE,0,0,-,,,,
Fernando Ubiergo,2009,Hombre,Solista,Nueva canción chilena / balada,Chile,no,PENDIENTE,0,0,-,1,2,no,PENDIENTE,0,0,-,,,,
K.C and the Sunshine Band,2009,Mixto,Grupo,Funk / disco,Estados Unidos,no,PENDIENTE,0,0,-,1,2,no,PENDIENTE,0,0,-,,,,
Carlos Santana,2009,Hombre,Solista,Rock / música latina,México,no,PENDIENTE,0,0,-,1,2,no,PENDIENTE,0,0,-,,,,
Roger Hodgson,2009,Hombre,Solista,Rock progresivo,Inglaterra,no,PENDIENTE,0,0,-,1,2,no,PENDIENTE,0,0,-,,,,
Simply Red,2009,Hombre,Grupo,Soul / pop,Inglaterra,no,PENDIENTE,0,0,-,1,2,no,PENDIENTE,0,0,-,,,,
Paolo Meneguzzi,2009,Hombre,Solista,Pop ,Suiza,no,PENDIENTE,0,0,-,0,0,no,PENDIENTE,0,0,-,,,,
R.K.M . & Ken-Y,2009,Hombre,Duo,Reggaeton,Puerto Rico,no,PENDIENTE,0,0,-,1,2,no,PENDIENTE,0,0,-,,,,
Luis Fonsi,2009,Hombre,Solista,Pop latino,Puerto Rico,no,PENDIENTE,0,0,-,1,2,no,PENDIENTE,0,0,-,,,,
Daddy Yankee,2009,Hombre,Solista,Reggaeton,Puerto Rico,si,PENDIENTE,2,1.2,-,1,2,Si ,PENDIENTE,1,1,Mantuvo,,,,
Natalino ,2009,Hombre,Solista,Balada pop romántica ,Chile,no,n,0,0,-,0,2,no,PENDIENTE,0,0,-,,,,
Marc Anthony,2009,Hombre,Solista,Salsa,Estados Unidos / Puerto Rico,no,PENDIENTE,0,0,-,1,2,no,PENDIENTE,0,0,-,,,,
Miguel Bosé,2008,Hombre,Solista,Pop / baladas,España,si,PENDIENTE,1,18,-,0,2,Si ,PENDIENTE,1,19,bajo,,,,
Six Pack (Karkú),2008,Mixto,Grupo,Pop,Chile,si,PENDIENTE,1,14,-,0,2,Si ,PENDIENTE,1,12,subio,,,,
"Earth, Wind & Fire",2008,Hombre,Grupo,Funk / soul / disco,Estados Unidos,no,PENDIENTE,0,0,-,1,2,no,PENDIENTE,0,0,-,,,,
Journey,2008,Hombre,Grupo,Rock,Estados Unidos ,no,PENDIENTE,0,0,-,1,2,no,PENDIENTE,0,0,-,,,,
Sinergia,2008,Hombre,Grupo,Metal alternativo,Chile,no,PENDIENTE,0,0,-,1,2,no,PENDIENTE,0,0,-,,,,
Peter Frampton,2008,Hombre,Solista,Rock,Inglaterra,no,PENDIENTE,0,0,-,1,2,no,PENDIENTE,0,0,-,,,,
Franco De Vita,2008,Hombre,Solista,Pop latino,Venezuela,no,PENDIENTE,0,0,-,2,2,no,PENDIENTE,0,0,-,,,,
Nelly Furtado,2008,Mujer,Solista,Pop / R&B ,Canadá,no,PENDIENTE,0,0,-,1,2,no,PENDIENTE,0,0,-,,,,
Amango,2008,Mixto,Grupo,Pop,Chile,si,PENDIENTE,1,12,-,0,2,Si ,PENDIENTE,1,8,subio,,,,
Calle 13 ,2008,Mixto,Grupo,Rap fusión latino,Puerto Rico,no,PENDIENTE,0,0,-,1,2,no,PENDIENTE,0,0,-,,,,
Marco Antonio Solis,2008,Hombre,Solista,Balada Romántica / pop,México,no,PENDIENTE,0,0,-,1,2,no,PENDIENTE,0,0,-,,,,
Coti,2008,Hombre,Solista,Pop rock,Argentina ,no,PENDIENTE,0,0,-,0,2,no,PENDIENTE,0,0,-,,,,
Vicentico,2008,Hombre,Solista,Rock pop,Argentina ,no,PENDIENTE,0,0,-,0,2,no,PENDIENTE,0,0,-,,,,
Chayanne,2008,Hombre,Solista,Pop latino,Puerto Rico,no,PENDIENTE,0,0,-,1,2,no,PENDIENTE,0,0,-,,,,
Buddy Richard,2008,Hombre,Solista,Nueva ola / balada / rock,Chile,no,PENDIENTE,0,0,-,1,2,no,PENDIENTE,0,0,-,,,,
Wisin & Yandel ,2008,Hombre,Duo,Reggaeton,Puerto Rico,si,PENDIENTE,1,10,-,1,2,Si ,PENDIENTE,1,2,subio,,,,
La oreja de Van Gogh,2007,Mixto,Grupo,Pop rock,España,no ,PENDIENTE,0,0,-,0,2,no,PENDIENTE,0,0,-,,,,
Bacilos,2007,Hombre,Grupo,Pop latino ,Estados Unidos,no ,PENDIENTE,0,0,-,0,2,no,PENDIENTE,0,0,-,,,,
Tom Jones,2007,Hombre,Solista,Pop / R&B / soul,Inglaterra,no ,PENDIENTE,0,0,-,1,2,no,PENDIENTE,0,0,-,,,,
Mario Guerrero ,2007,Hombre,Solista,Baladas / pop ,Chile,no ,PENDIENTE,0,0,-,0,2,no,PENDIENTE,0,0,-,,,,
Los Bunkers,2007,Hombre,Grupo,Rock alternativo,Chile,no ,PENDIENTE,0,0,-,0,2,no,PENDIENTE,0,0,-,,,,
Gustavo Cerati,2007,Hombre,Solista,Rock / pop,Argentina,no ,PENDIENTE,0,0,-,1,2,no,PENDIENTE,0,0,-,,,,
Ana Torroja,2007,Mujer,Solista,Pop,España,no ,PENDIENTE,0,0,-,0,2,no,PENDIENTE,0,0,-,,,,
Kudai,2007,Mixto,Grupo,Pop rock,Chile,si,PENDIENTE,1,5,-,0,2,Si ,PENDIENTE,1,5,mantuvo,,,,
Los tres,2007,Hombre,Grupo,Rock,Chile,no,PENDIENTE,0,0,-,1,2,no,PENDIENTE,0,0,-,,,,
Fito Páez,2007,Hombre,Solista,Rock,Argentina,no,PENDIENTE,0,0,-,1,2,no,PENDIENTE,0,0,-,,,,
Bryan Adams,2007,Hombre,Solista,Hard rock / pop rock,Canadá,no,PENDIENTE,0,0,-,1,2,no,PENDIENTE,0,0,-,,,,
Luis Jara,2007,Hombre,Solista,Romántico,Chile,no,PENDIENTE,0,0,-,0,2,no,PENDIENTE,0,0,-,,,,
Lucybell,2007,Hombre,Grupo,Rock,Chile,si,PENDIENTE,1,15,-,1,2,Si ,PENDIENTE,1,10,subio,,,,
Ricky Martin ,2007,Hombre,Solista,Pop latino,Puerto Rico,si,PENDIENTE,1,4,-,2,2,Si ,PENDIENTE,1,2,subio,,,,
Axel,2007,Hombre,Solista,Balada Romántica / pop latino,Argentina,no,PENDIENTE,0,0,-,0,2,si,PENDIENTE,1,9,ingreso,,,,
Don Omar ,2007,Hombre,Solista,Reggaeton,Puerto Rico,no,PENDIENTE,0,0,-,1,2,no,PENDIENTE,0,0,-,,,,
Juan Luis Guerra,2006,Hombre,Solista,Bachata,República Dominicana,no ,PENDIENTE,0,0,-,0,2,-,-,-,-,-,,,,
Andy & Lucas,2006,Hombre,Duo,Pop / flamenco,España,no ,PENDIENTE,0,0,-,0,2,-,-,-,-,-,,,,
Miranda!,2006,Mixto,Duo,Electropop,Argentina,no ,PENDIENTE,0,0,-,1,2,-,-,-,-,-,,,,
Jose Feliciano,2006,Hombre,Solista,Pop latino / bolero ,Puerto Rico / Estados Unidos,no ,PENDIENTE,0,0,-,1,2,-,-,-,-,-,,,,
Sin Bandera,2006,Hombre,Grupo,Pop / baladas / ranchera,México,no ,PENDIENTE,0,0,-,1,2,-,-,-,-,-,,,,
Illapu,2006,Hombre,Grupo,Música andina / fusión latinoamericana,Chile,no ,PENDIENTE,0,0,-,0,2,-,-,-,-,-,,,,
A-ha,2006,Hombre,Grupo,Pop rock,Noruega,no ,PENDIENTE,0,0,-,1,2,-,-,-,-,-,,,,
Los tigres del norte,2006,Hombre,Grupo,Regional mexicana ,México,no ,PENDIENTE,0,0,-,0,2,-,-,-,-,-,,,,
Javier Estrada,2006,Hombre,Solista,Pop / rock / baladas románticas ,España,no ,PENDIENTE,0,0,-,0,2,-,-,-,-,-,,,,
Chancho en Piedra,2006,Hombre,Grupo,Rock alternativo,Chile,no ,PENDIENTE,0,0,-,1,2,-,-,-,-,-,,,,
Kansas,2006,Hombre,Grupo,Rock progresivo / hard rock,Estados Unidos,no ,PENDIENTE,0,0,-,0,2,-,-,-,-,-,,,,
Joe Vasconcellos,2006,Hombre,Solista,Pop rock,Chile,no ,PENDIENTE,0,0,-,0,2,-,-,-,-,-,,,,
Alejandro Fernández ,2006,Hombre,Solista,Ranchera / pop latino,México,si,PENDIENTE,1,11,-,1,2,-,-,-,-,-,,,,
Amaral,2006,Mixto,Grupo,Folk rock / pop rock,España,no,PENDIENTE,0,0,-,0,2,-,-,-,-,-,,,,
Daddy Yankee,2006,Hombre,Solista,Reggaeton,Puerto Rico,no,PENDIENTE,0,0,-,1,2,-,-,-,-,-,,,,
Franz Ferdinand,2006,Mixto,Grupo,Indie Rock,Escocia,no,PENDIENTE,0,0,-,1,2,-,-,-,-,-,,,,
David DeMaría,2006,Hombre,Solista,Pop rock,España,no,PENDIENTE,0,0,-,0,2,-,-,-,-,-,,,,
La gran sonora de Chile,2006,Hombre,Grupo,Cumbia,Chile,no,PENDIENTE,0,0,-,0,2,-,-,-,-,-,,,,
Juanes ,2005,Hombre,Solista,Pop latino / rock,Colombia,si,PENDIENTE,2,4.9,-,0,2,no,PENDIENTE,0,0,0,,,,
La oreja de Van Gogh,2005,Mixto,Grupo,Pop rock,España,no,PENDIENTE,0,0,-,1,2,no,PENDIENTE,0,0,0,,,,
La Sonora Palacios  ,2005,Hombre,Grupo,Cumbia,Chile,no,PENDIENTE,0,0,-,0,2,no,PENDIENTE,0,0,0,,,,
Paulina Rubio,2005,Mujer,Solista,Pop latino ,México,no,PENDIENTE,0,0,-,0,2,no,PENDIENTE,0,0,0,,,,
Raphael,2005,Hombre,Solista,Balada,España,no,PENDIENTE,0,0,-,1,2,no,PENDIENTE,0,0,0,,,,
Babasonicos,2005,Hombre,Grupo,Pop rock,Argentina,no,PENDIENTE,0,0,-,0,2,no,PENDIENTE,0,0,0,,,,
Alberto Plaza,2005,Hombre,Solista,Trova romántica / balada ,Chile,no,PENDIENTE,0,0,-,1,2,no,PENDIENTE,0,0,0,,,,
Los hermanos Bustos,2005,Hombre,Duo,Ranchera,Chile,no,PENDIENTE,0,0,-,0,2,no,PENDIENTE,0,0,0,,,,
Congreso,2005,Hombre,Grupo,Fusión latinomaricana,Chile,no,PENDIENTE,0,0,-,0,2,no,PENDIENTE,0,0,0,,,,
Lucybell,2005,Hombre,Grupo,Rock,Chile,no,PENDIENTE,0,0,-,0,2,si,PENDIENTE,1,10,subio,,,,
La Ley,2005,Mixto,Grupo,Rock,Chile,Si,PENDIENTE,1,6,-,1,2,no,PENDIENTE,0,0,0,,,,
Julieta Venegas,2005,Mujer,Solista,Rock alternativo,México,Si,PENDIENTE,1,20,-,0,2,no,PENDIENTE,0,0,0,,,,
Alexandre Pires,2005,Hombre,Solista,Pagode,Brasil,no,PENDIENTE,0,0,-,1,2,no,PENDIENTE,0,0,0,,,,
Café Tacuba,2005,Hombre,Grupo,Rock alternativo / folk,México,no,PENDIENTE,0,0,-,1,2,no,PENDIENTE,0,0,0,,,,
Miguel Bosé ,2005,Hombre,Solista,Pop / baladas,España,no,PENDIENTE,0,0,-,1,2,no,PENDIENTE,0,0,0,,,,
Obie bermúdez,2005,Hombre,Solista,Pop latino / salsa,Puerto Rico,no,PENDIENTE,0,0,-,0,2,no,PENDIENTE,0,0,0,,,,
David Bisbal,2005,Hombre,Solista,Pop,España,no,PENDIENTE,0,0,-,0,2,no,PENDIENTE,0,0,0,,,,
The orchestra,2005,Hombre,Grupo,Rock,Inglaterra,no,PENDIENTE,0,0,-,0,2,no,PENDIENTE,0,0,0,,,,
Marco Antonio Solis,2005,Hombre,Solista,Balada Romántica / pop,México,si,PENDIENTE,1,8,-,1,2,no,PENDIENTE,0,0,0,,,,
Fey,2005,Mujer,Solista,Pop / electrónica,México,no,PENDIENTE,0,0,-,0,2,no,PENDIENTE,0,0,0,,,,
Diego Torres,2005,Hombre,Solista,Pop latino,Argentina,no ,PENDIENTE,0,0,-,1,2,no,PENDIENTE,0,0,0,,,,
Los Auténticos Decadentes ,2005,Hombre,Grupo,Rock / ska,Argentina,no,PENDIENTE,0,0,-,0,2,no,PENDIENTE,0,0,0,,,,
Cristian Castro,2004,Hombre,Solista,Balada romántica ,México,si,PENDIENTE,1,5,-,0,1,si,PENDIENTE,1,13,bajo,,,,
Soraya,2004,Mujer,Solista,Pop latino,Colombia,no,PENDIENTE,0,0,-,0,1,no,PENDIENTE,0,0,0,,,,
Umberto Tozzi,2004,Hombre,Solista,Pop rock,Italia,no,PENDIENTE,0,0,-,0,1,no,PENDIENTE,0,0,0,,,,
La Sonora de Tommy Rey ,2004,Hombre,Grupo,Cumbia,Chile,no,PENDIENTE,0,0,-,1,2,no,PENDIENTE,0,0,0,,,,
Marciano,2004,Hombre,Duo,Música electrónica,Chile,no,PENDIENTE,0,0,-,0,0,no,PENDIENTE,0,0,0,,,,
Camilo Sesto,2004,Hombre,Solista,Balada romántica / pop / rock,España,no,PENDIENTE,0,0,-,1,2,no,PENDIENTE,0,0,0,,,,
Douglas,2004,Hombre,Solista,Bachata / balada romántica,Chile,no,PENDIENTE,0,0,-,0,1,no,PENDIENTE,0,0,0,,,,
Bacilos,2004,Hombre,Grupo,Pop latino ,Estados Unidos,no,PENDIENTE,0,0,-,0,1,no,PENDIENTE,0,0,0,,,,
Chancho en Piedra,2004,Hombre,Grupo,Rock alternativo,Chile,no,PENDIENTE,0,0,-,1,2,no,PENDIENTE,0,0,0,,,,
Toto,2004,Hombre,Grupo,Rock,Estados Unidos,no,PENDIENTE,0,0,-,0,1,no,PENDIENTE,0,0,0,,,,
Juan Gabriel,2004,Hombre,Solista,Mariachi / bolero / balada,México,no,PENDIENTE,0,0,-,2,2,no,PENDIENTE,0,0,0,,,,
Alex Ubago,2004,Hombre,Solista,Pop rock / balada moderna ,España,no,PENDIENTE,0,0,-,0,1,no,PENDIENTE,0,0,0,,,,
Canal Magdalena,2004,Hombre,Grupo,Pop rock,Chile,no,PENDIENTE,0,0,-,0,1,no,PENDIENTE,0,0,0,,,,
Maria Jose Quintanilla,2004,Mujer,Solista,Ranchera / pop / balada ,Chile,no,PENDIENTE,0,0,-,2,2,no,PENDIENTE,0,0,0,,,,
Intii-Illimani,2004,Hombre,Grupo,Nueva canción chilena ,Chile,no,PENDIENTE,0,0,-,2,2,no,PENDIENTE,0,0,0,,,,
Tito Fernández ,2004,Hombre,Solista,Nueva canción chilena / folclore ,Chile,no,PENDIENTE,0,0,-,2,2,no,PENDIENTE,0,0,0,,,,
Pettinellis,2004,Hombre,Grupo,Rock ,Chile,no,PENDIENTE,0,0,-,2,2,no,PENDIENTE,0,0,0,,,,
Salvatore Adamo ,2004,Hombre,Solista,Balada Romántica / pop,Italia/ Bélgica,no,PENDIENTE,0,0,-,2,2,no,PENDIENTE,0,0,0,,,,
Luis Fonsi,2004,Hombre,Solista,Pop latino,Puerto Rico,si,PENDIENTE,1,2,-,2,2,si,PENDIENTE,1,3,bajo,,,,
Fito Páez,2004,Hombre,Solista,Rock,Argentina,no,PENDIENTE,0,0,-,2,2,no,PENDIENTE,0,0,0,,,,
Molotov,2004,Hombre,Grupo,Punk rock,México,no,PENDIENTE,0,0,-,1,2,no,PENDIENTE,0,0,0,,,,
Ricardo Arjona,2004,Hombre,Solista,Pop latino,Guatemala,no,PENDIENTE,0,0,-,2,2,no,PENDIENTE,0,0,0,,,,
DJ Méndez,2004,Hombre,Solista,Rap / urbano / hip hop,Chile,no,PENDIENTE,0,0,-,1,2,no,PENDIENTE,0,0,0,,,,
Jarabe de palo,2004,Hombre,Grupo,Rock,España,no,PENDIENTE,0,0,-,0,0,no,PENDIENTE,0,0,0,,,,
Safri Duo,2004,Hombre,Grupo,Música electrónica / trance ,Dinamarca,no,PENDIENTE,0,0,-,0,2,no,PENDIENTE,0,0,0,,,,
Maná,2003,Hombre,Grupo,Rock,México,si,PENDIENTE,1,17,-,0,1,no,PENDIENTE,0,0,0,,,,
Kool & the Gang,2003,Hombre,Grupo,R&B / soul / funk ,Estados Unidos,no ,PENDIENTE,0,0,-,0,0,no,PENDIENTE,0,0,0,,,,
Diego Torres,2003,Hombre,Solista,Pop latino,Argentina,no,PENDIENTE,0,0,-,0,1,no,PENDIENTE,0,0,0,,,,
Juanes ,2003,Hombre,Solista,Pop latino / rock,Colombia,si,PENDIENTE,2,4.13,-,0,1,si,PENDIENTE,2,"11, 14",subio,,,,
Porto Bahía,2003,Mixto,Grupo,Ritmos brasileños y latinos ,Brasil / Chile,no,PENDIENTE,0,0,-,0,0,no,PENDIENTE,0,0,0,,,,
Lucybell,2003,Hombre,Grupo,Rock,Chile,no,PENDIENTE,0,0,-,0,2,si,PENDIENTE,1,20,Ingreso,,,,
INXS,2003,Hombre,Grupo,Rock alternativo / new wave ,Australia,no,PENDIENTE,0,0,-,0,1,no,PENDIENTE,0,0,0,,,,
David Bisbal,2003,Hombre,Solista,Pop,España,si,PENDIENTE,1,8,-,0,0,si,PENDIENTE,1,9,bajo,,,,
Rosario,2003,Mujer,Solista,Pop / rock / flamenco,España,no,PENDIENTE,0,0,-,0,1,no,PENDIENTE,0,0,0,,,,
Gondwana,2003,Hombre,Grupo,Reggae,Chile,si,PENDIENTE,1,15,-,0,2,no,PENDIENTE,0,0,0,,,,
Joe Vasconcellos,2003,Hombre,Solista,Pop rock,Chile,no,PENDIENTE,0,0,-,0,2,no,PENDIENTE,0,0,0,,,,
Los prisioneros,2003,Hombre,Grupo,Rock,Chile,no,PENDIENTE,0,0,-,1,2,no,PENDIENTE,0,0,0,,,,
Charly García,2003,Hombre,Solista,Rock / pop / jazz,Argentina,no,PENDIENTE,0,0,-,0,1,no,PENDIENTE,0,0,0,,,,
Los Nocheros,2003,Hombre,Grupo,Balada folclórica,Argentina,no,PENDIENTE,0,0,-,1,2,no,PENDIENTE,0,0,0,,,,
Franco Simone,2003,Hombre,Solista,Pop / balada romántica ,Italia,no,PENDIENTE,0,0,-,0,1,no,PENDIENTE,0,0,0,,,,
Café con leche,2003,Hombre,Grupo,Axé,Chile / Brasil,no,PENDIENTE,0,0,-,0,1,no,PENDIENTE,0,0,0,,,,
Ricardo Montaner,2003,Hombre,Solista,Balada romántica,Venezuela,no,PENDIENTE,0,0,-,1,2,si,PENDIENTE,1,17,ingreso,,,,
Luis Jara,2003,Hombre,Solista,Romántico,Chile,no,PENDIENTE,0,0,-,1,2,no,no,0,0,0,,,,
Sandy & Junior,2003,Mixto,Duo,Pop,Brasil,no,PENDIENTE,0,0,-,0,0,no,PENDIENTE,0,0,0,,,,
Los Ilegales,2003,Hombre,Grupo,Latino / tropical,República Domicana ,no,PENDIENTE,0,0,-,0,1,no,PENDIENTE,0,0,0,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
